;grid;on_wind;hydrogen_storage;Curtailment
7619;6.92;24.65;199.81;24.65
7620;6.92;24.05;199.81;24.05
7621;6.92;20.95;199.81;20.95
7622;6.92;16.59;199.81;16.59
7623;6.92;11.4;199.81;11.4
7624;6.92;4.54;199.81;4.54
7625;6.92;0.48;199.81;0.48
7626;6.92;0.0;199.02;0.0
7627;6.92;0.0;201.64;0.0
7628;6.92;0.0;201.98;0.0
7629;6.92;0.0;202.89;0.0
7630;6.92;1.13;203.14;1.13
7631;6.92;0.0;202.39;0.0
7632;6.92;0.0;201.61;0.0
7633;6.92;0.0;200.26;0.0
7634;6.92;0.0;199.19;0.0
7635;6.92;0.0;197.4;0.0
7636;6.92;0.0;195.59;0.0
7637;6.92;0.0;191.47;0.0
7638;6.92;0.0;191.44;0.0
7639;6.92;0.0;191.22;0.0
7640;6.92;0.0;190.34;0.0
7641;6.92;0.0;189.96;0.0
7642;6.92;0.0;191.44;0.0
7643;6.92;0.0;194.07;0.0
7644;6.92;0.0;195.58;0.0
7645;6.92;0.0;197.14;0.0
7646;6.92;0.0;199.09;0.0
7647;6.92;1.73;199.81;1.73
7648;6.92;0.42;199.81;0.42
7649;6.92;0.0;199.24;0.0
7650;6.92;0.12;199.81;0.12
7651;6.92;2.15;203.14;2.15
7652;6.92;2.51;203.14;2.51
7653;6.92;9.07;203.14;9.07
7654;6.92;7.58;203.14;7.58
7655;6.92;7.64;203.14;7.64
7656;6.92;12.35;203.14;12.35
7657;6.92;12.95;203.14;12.95
7658;6.92;13.73;203.14;13.73
7659;6.92;12.17;203.14;12.17
7660;6.92;7.58;203.14;7.58
7661;6.92;1.85;199.81;1.85
7662;6.92;0.0;197.11;0.0
7663;6.92;0.0;194.16;0.0
7664;6.92;0.0;191.31;0.0
7665;6.92;0.0;189.49;0.0
7666;6.79;0.0;189.37;0.0
7667;5.12;0.0;189.37;0.0
7668;4.11;0.0;189.37;0.0
7669;3.45;0.0;189.37;0.0
7670;3.69;0.0;189.37;0.0
7671;4.64;0.0;189.37;0.0
7672;5.9;0.0;189.37;0.0
7673;6.92;0.0;189.62;0.0
7674;6.92;0.0;190.25;0.0
7675;6.92;0.0;193.61;0.0
7676;6.92;0.0;193.42;0.0
7677;6.92;0.0;193.55;0.0
7678;6.92;0.0;193.67;0.0
7679;6.92;0.0;193.61;0.0
7680;6.92;0.0;193.74;0.0
7681;6.92;0.0;194.17;0.0
7682;6.92;0.0;194.68;0.0
7683;6.92;0.0;194.52;0.0
7684;6.92;0.0;194.49;0.0
7685;6.92;0.0;191.31;0.0
7686;6.92;0.0;191.75;0.0
7687;6.92;0.0;192.16;0.0
7688;6.92;0.0;191.47;0.0
7689;6.92;0.0;191.12;0.0
7690;6.92;0.0;191.34;0.0
7691;6.92;0.0;192.22;0.0
7692;6.92;0.0;192.72;0.0
7693;6.92;0.0;191.94;0.0
7694;6.92;0.0;190.97;0.0
7695;6.92;0.0;191.69;0.0
7696;6.92;0.0;192.0;0.0
7697;6.92;0.0;191.0;0.0
7698;6.91;0.0;189.37;0.0
7699;5.66;0.0;192.7;0.0
7700;6.55;0.0;192.7;0.0
7701;6.92;0.0;193.05;0.0
7702;6.92;0.0;192.89;0.0
7703;6.31;0.0;192.7;0.0
7704;5.06;0.0;192.7;0.0
7705;3.99;0.0;192.7;0.0
7706;3.93;0.0;192.7;0.0
7707;4.11;0.0;192.7;0.0
7708;4.41;0.0;192.7;0.0
7709;5.06;0.0;189.37;0.0
7710;6.08;0.0;189.37;0.0
7711;6.92;0.0;189.62;0.0
7712;6.92;0.0;190.03;0.0
7713;6.92;0.0;190.9;0.0
7714;6.92;0.0;191.53;0.0
7715;6.92;0.0;192.66;0.0
7716;6.92;0.0;193.07;0.0
7717;6.92;0.0;193.32;0.0
7718;6.92;0.0;194.85;0.0
7719;6.92;0.0;197.58;0.0
7720;6.92;0.0;198.49;0.0
7721;6.92;0.0;199.62;0.0
7722;6.92;6.56;199.81;6.56
7723;6.92;36.58;189.72;36.58
7724;6.92;36.52;189.72;36.52
7725;6.92;34.55;189.72;34.55
7726;6.92;28.41;189.72;28.41
7727;6.92;27.45;189.72;27.45
7728;6.92;2.86;203.14;2.86
7729;6.92;5.85;203.14;5.85
7730;6.92;11.46;203.14;11.46
7731;6.92;12.77;203.14;12.77
7732;6.92;14.74;203.14;14.74
7733;6.92;15.76;199.81;15.76
7734;6.92;17.01;199.81;17.01
7735;6.92;17.37;199.81;17.37
7736;6.92;17.43;199.81;17.43
7737;6.92;16.59;199.81;16.59
7738;6.92;15.93;199.81;15.93
7739;6.92;16.23;199.81;16.23
7740;6.92;14.98;199.81;14.98
7741;6.92;13.55;199.81;13.55
7742;6.92;11.4;199.81;11.4
7743;6.92;7.4;199.81;7.4
7744;6.92;9.25;199.81;9.25
7745;6.92;8.71;199.81;8.71
7746;6.92;6.27;199.81;6.27
7747;6.92;5.01;203.14;5.01
7748;6.92;5.07;203.14;5.07
7749;6.92;5.01;203.14;5.01
7750;6.92;6.39;203.14;6.39
7751;6.92;7.1;203.14;7.1
7752;6.92;7.7;203.14;7.7
7753;6.92;9.07;203.14;9.07
7754;6.92;9.19;203.14;9.19
7755;6.92;12.53;203.14;12.53
7756;6.92;14.38;203.14;14.38
7757;6.92;14.68;199.81;14.68
7758;6.92;13.19;199.81;13.19
7759;6.92;11.52;199.81;11.52
7760;6.92;10.44;199.81;10.44
7761;6.92;10.62;199.81;10.62
7762;6.92;11.34;199.81;11.34
7763;6.92;9.61;199.81;9.61
7764;6.92;5.67;199.81;5.67
7765;6.92;0.36;199.81;0.36
7766;6.92;0.0;197.43;0.0
7767;6.92;0.0;196.17;0.0
7768;6.92;0.0;195.95;0.0
7769;6.92;0.0;195.32;0.0
7770;6.92;0.0;194.04;0.0
7771;6.92;0.0;196.15;0.0
7772;6.92;0.0;194.74;0.0
7773;6.92;0.0;193.33;0.0
7774;6.02;0.0;192.7;0.0
7775;4.41;0.0;192.7;0.0
7776;3.09;0.0;192.7;0.0
7777;2.26;0.0;192.7;0.0
7778;1.78;0.0;192.7;0.0
7779;1.6;0.0;192.7;0.0
7780;1.6;0.0;192.7;0.0
7781;2.2;0.0;189.37;0.0
7782;3.81;0.0;189.37;0.0
7783;6.26;0.0;189.37;0.0
7784;6.92;0.0;189.93;0.0
7785;6.92;0.0;191.03;0.0
7786;6.92;0.0;192.0;0.0
7787;6.92;0.0;192.35;0.0
7788;6.92;0.0;192.72;0.0
7789;6.92;0.0;193.1;0.0
7790;6.92;0.0;192.6;0.0
7791;6.92;0.0;193.07;0.0
7792;6.92;0.0;193.82;0.0
7793;6.92;0.0;194.42;0.0
7794;6.92;0.0;195.29;0.0
7795;6.92;0.0;198.69;0.0
7796;6.92;0.0;198.19;0.0
7797;6.92;0.0;197.72;0.0
7798;6.92;0.0;196.96;0.0
7799;6.92;0.0;196.06;0.0
7800;6.92;0.0;195.33;0.0
7801;6.92;0.0;194.3;0.0
7802;6.92;0.0;193.3;0.0
7803;6.31;0.0;192.7;0.0
7804;5.78;0.0;192.7;0.0
7805;5.9;0.0;189.37;0.0
7806;6.37;0.0;189.37;0.0
7807;5.78;0.0;189.37;0.0
7808;4.29;0.0;189.37;0.0
7809;3.15;0.0;189.37;0.0
7810;3.21;0.0;189.37;0.0
7811;3.21;0.0;189.37;0.0
7812;3.81;0.0;189.37;0.0
7813;6.92;0.0;189.68;0.0
7814;6.92;0.0;189.9;0.0
7815;6.92;0.0;192.5;0.0
7816;6.92;0.0;195.8;0.0
7817;6.92;0.0;197.8;0.0
7818;6.92;0.0;199.34;0.0
7819;6.92;0.72;203.14;0.72
7820;6.92;5.79;203.14;5.79
7821;6.92;11.46;203.14;11.46
7822;6.92;12.35;203.14;12.35
7823;6.92;13.37;203.14;13.37
7824;6.92;11.16;203.14;11.16
7825;6.92;13.91;203.14;13.91
7826;6.92;14.8;203.14;14.8
7827;6.92;15.64;203.14;15.64
7828;6.92;16.11;203.14;16.11
7829;6.92;18.08;199.81;18.08
7830;6.92;19.52;199.81;19.52
7831;6.92;20.05;199.81;20.05
7832;6.92;21.01;199.81;21.01
7833;6.92;22.02;199.81;22.02
7834;6.92;23.39;199.81;23.39
7835;6.92;24.83;199.81;24.83
7836;6.92;26.2;199.81;26.2
7837;6.92;27.33;199.81;27.33
7838;6.92;27.75;199.81;27.75
7839;6.92;28.05;199.81;28.05
7840;6.92;27.87;199.81;27.87
7841;6.92;26.5;199.81;26.5
7842;6.92;24.83;199.81;24.83
7843;6.92;22.44;203.14;22.44
7844;6.92;19.93;203.14;19.93
7845;6.92;18.86;203.14;18.86
7846;6.92;18.14;203.14;18.14
7847;6.92;18.56;203.14;18.56
7848;6.92;17.01;203.14;17.01
7849;6.92;15.93;203.14;15.93
7850;6.92;15.22;203.14;15.22
7851;6.92;12.95;203.14;12.95
7852;6.92;10.21;203.14;10.21
7853;6.92;7.52;199.81;7.52
7854;6.92;3.04;199.81;3.04
7855;6.92;1.73;199.81;1.73
7856;6.92;3.58;199.81;3.58
7857;6.92;10.09;199.81;10.09
7858;6.92;12.77;199.81;12.77
7859;6.92;15.16;199.81;15.16
7860;6.92;17.72;199.81;17.72
7861;6.92;20.29;199.81;20.29
7862;6.92;21.19;199.81;21.19
7863;6.92;21.78;199.81;21.78
7864;6.92;21.31;199.81;21.31
7865;6.92;19.57;199.81;19.57
7866;6.92;16.83;199.81;16.83
7867;6.92;13.19;203.14;13.19
7868;6.92;9.13;203.14;9.13
7869;6.92;7.34;203.14;7.34
7870;6.92;3.04;203.14;3.04
7871;6.92;0.0;202.51;0.0
7872;6.92;0.0;200.26;0.0
7873;6.92;0.0;199.29;0.0
7874;6.92;0.0;200.23;0.0
7875;6.92;0.0;202.92;0.0
7876;6.92;3.16;203.14;3.16
7877;6.92;0.48;199.81;0.48
7878;6.92;0.42;199.81;0.42
7879;6.92;0.42;199.81;0.42
7880;6.92;3.34;199.81;3.34
7881;6.92;1.19;199.81;1.19
7882;6.92;0.0;197.96;0.0
7883;6.92;0.0;197.24;0.0
7884;6.92;0.0;197.27;0.0
7885;6.92;0.0;197.27;0.0
7886;6.92;0.0;197.05;0.0
7887;6.92;0.0;197.9;0.0
7888;6.92;0.0;198.37;0.0
7889;6.92;0.0;196.96;0.0
7890;6.92;0.0;195.45;0.0
7891;6.92;14.86;189.72;14.86
7892;6.92;10.44;189.72;10.44
7893;6.92;6.39;189.72;6.39
7894;6.92;4.54;189.72;4.54
7895;6.92;4.89;189.72;4.89
7896;6.92;0.0;193.2;0.0
7897;6.92;0.0;194.14;0.0
7898;6.92;0.0;194.83;0.0
7899;6.92;0.0;195.08;0.0
7900;6.92;0.0;195.77;0.0
7901;6.92;0.0;192.41;0.0
7902;6.92;0.0;192.31;0.0
7903;6.92;0.0;191.63;0.0
7904;6.92;0.0;190.78;0.0
7905;6.92;0.0;190.25;0.0
7906;6.92;0.0;189.84;0.0
