snapshot;hydrogen_storage
0;-6.753410490307866
1;-6.753410490307866
2;-6.753410490307866
3;-6.753410490307866
4;-6.753410490307866
5;-3.4204104903078663
6;-3.4204104903078663
7;-3.4204104903078663
8;-3.4204104903078663
9;-3.4204104903078663
10;-3.4204104903078663
11;-3.4204104903078663
12;-3.4204104903078663
13;-3.4204104903078663
14;-3.4204104903078663
15;-2.3857363169897354
16;-2.5738588939566682
17;-2.8560427594070674
18;-0.9434632269099161
19;-1.4546245724059261
20;0.9596151653363751
21;-0.35724287343215355
22;-4.182401938426452
23;-6.753410490307866
24;-6.753410490307866
25;-6.753410490307866
26;-6.753410490307866
27;-6.753410490307866
28;-6.753410490307866
29;-3.4204104903078663
30;-3.4204104903078663
31;-3.4204104903078663
32;-3.4204104903078663
33;-3.4204104903078663
34;-3.4204104903078663
35;-3.4204104903078663
36;-3.4204104903078663
37;-0.880755701254273
38;1.0318238312428765
39;0.6869324401368324
40;0.12256470923603402
41;-0.5672180729760541
42;-1.351062143671605
43;-4.997599771949828
44;-4.934892246294181
45;-4.464585803876851
46;-4.778123432155072
47;-3.9002180729760543
48;-2.865543899657922
49;-2.2071148802736573
50;-1.8622234891676168
51;-1.2978557582668175
52;-0.7334880273660183
53;2.850342075256558
54;3.069818415051313
55;3.0384646522234906
56;3.1638797035347794
57;3.132525940706957
58;3.195233466362602
59;3.5714786202964666
60;4.135846351197265
61;3.728247434435577
62;1.4394227480045636
63;-0.4731567844925859
64;-1.7900148232611155
65;-2.1662599771949793
66;-2.6052126567844915
67;-6.377165336373999
68;-6.596641676168755
69;-6.753410490307866
70;-6.753410490307866
71;-6.753410490307866
72;-6.753410490307866
73;-6.753410490307866
74;-6.753410490307866
75;-6.753410490307866
76;-6.753410490307866
77;-3.4204104903078663
78;-3.4204104903078663
79;-3.4204104903078663
80;-3.4204104903078663
81;-3.4204104903078663
82;-3.4204104903078663
83;-3.4204104903078663
84;-3.4204104903078663
85;-3.4204104903078663
86;-3.4204104903078663
87;-3.4204104903078663
88;-3.4204104903078663
89;-3.4204104903078663
90;-3.4204104903078663
91;-6.753410490307866
92;-6.753410490307866
93;-6.753410490307866
94;-6.753410490307866
95;-6.753410490307866
96;-6.753410490307866
97;-6.753410490307866
98;-6.753410490307866
99;-6.753410490307866
100;-6.753410490307866
101;-3.4204104903078663
102;-3.4204104903078663
103;-3.4204104903078663
104;-3.4204104903078663
105;-3.4204104903078663
106;-3.4204104903078663
107;-3.4204104903078663
108;-3.4204104903078663
109;-1.0375245153933843
110;1.251300171037629
111;1.314007696693272
112;1.721606613454961
