snapshot;battery_storage;hydrogen_storage
0;0.0;-5.8678687379094825
1;0.0;-5.867868737909482
2;0.0;-5.867868737909482
3;0.0;-5.867868737909482
4;0.0;-5.867868737909482
5;0.0;-2.5348687379094827
6;0.0;-2.5348687379094827
7;0.0;-2.5348687379094827
8;0.0;-2.5348687379094827
9;0.0;-2.5348687379094827
10;0.0;-2.5348687379094827
11;0.0;-2.5348687379094827
12;0.0;-2.5348687379094827
13;0.0;-2.5348687379094827
14;0.0;-2.5348687379094827
15;-2.5414942696521585;-2.5348687379094827
16;0.0;-2.5348687379094827
17;-9.756058648020364;-2.5348687379094827
18;-4.755053794833472;-2.5348687379094827
19;2.623477955770131;-5.867868737909482
20;8.936221786842108;-5.867868737909482
21;5.492906969893756;-5.867868737909482
22;0.0;-5.867868737909482
23;0.0;-5.867868737909482
24;0.0;-5.867868737909482
25;0.0;-5.867868737909482
26;0.0;-5.867868737909482
27;0.0;-5.867868737909482
28;0.0;-5.867868737909482
29;0.0;-2.5348687379094827
30;0.0;-2.5348687379094827
31;0.0;-2.5348687379094827
32;0.0;-2.5348687379094827
33;0.0;-2.5348687379094827
34;0.0;-2.5348687379094827
35;-22.053611565693046;-2.5348687379094827
36;-5.820841714364072;-2.5348687379094827
37;0.0;-2.5348687379094827
38;0.40991843058905175;-2.5348687379094827
39;-0.49190211670694595;-2.5348687379094827
40;-1.9676084668276665;-2.5348687379094827
41;-3.771249561419662;-2.5348687379094827
42;-5.8208417143651054;-2.5348687379094827
43;-6.640678575543284;-5.867868737909482
44;-6.476711203307648;-5.867868737909482
45;-5.246955911540379;-5.867868737909482
46;-6.066792772718561;-5.867868737909482
47;-3.771249561419662;-5.867868737909482
48;-1.0657879195316688;-5.867868737909482
49;0.655869488942507;-5.867868737909482
50;1.5576900362384976;-5.867868737909482
51;3.0333963863592217;-5.867868737909482
52;4.509102736479942;-5.867868737909482
53;5.164972225422485;-2.5348687379094827
54;5.738858028247211;-2.5348687379094827
55;5.656874342129392;-2.5348687379094827
56;5.984809086600663;-2.5348687379094827
57;5.902825400482847;-2.5348687379094827
58;6.0667927727184825;-2.5348687379094827
59;7.050597006132296;-2.5348687379094827
60;8.526303356253019;-2.5348687379094827
61;7.4605154367213835;-2.5348687379094827
62;1.4757063501206815;-2.5348687379094827
63;0.0;-2.5348687379094827
64;0.0;-2.5348687379094827
65;0.0;-2.5348687379094827
66;0.0;-2.5348687379094827
67;0.0;-5.867868737909482
68;0.0;-5.867868737909482
69;0.0;-5.867868737909482
70;0.0;-5.867868737909482
71;0.0;-5.867868737909482
72;0.0;-5.867868737909482
73;0.0;-5.867868737909406
74;0.0;-5.867868737909482
75;0.0;-5.867868737909482
76;0.0;-5.867868737909406
77;0.0;-2.5348687379094827
78;0.0;-2.5348687379094827
79;0.0;-2.5348687379094827
80;0.0;-2.5348687379094827
81;0.0;-2.5348687379094827
82;0.0;-2.5348687379094827
83;0.0;-2.5348687379094827
84;0.0;-2.5348687379094827
85;0.0;-2.5348687379094827
86;0.0;-2.5348687379094827
87;0.0;-2.5348687379094827
88;0.0;-2.5348687379094827
89;0.0;-2.5348687379094827
90;0.0;-2.5348687379094827
91;0.0;-5.867868737909482
92;0.0;-5.867868737909482
93;0.0;-5.867868737909482
94;0.0;-5.867868737909482
95;0.0;-5.867868737909482
96;0.0;-5.867868737909482
97;0.0;-5.867868737909482
98;0.0;-5.867868737909482
99;0.0;-5.867868737909482
100;0.0;-5.867868737909482
101;0.0;-2.5348687379094827
102;0.0;-2.5348687379094827
103;0.0;-2.5348687379094827
104;0.0;-2.5348687379094827
105;-24.18518740475588;-2.5348687379094827
106;0.0;-2.5348687379094827
107;0.0;-2.5348687379094827
108;-15.822851420738886;-2.5348687379094827
109;0.0;-2.5348687379094827
110;0.9838042334137747;-2.5348687379094827
111;1.1477716056494103;-2.5348687379094827
112;2.2135595251810436;-2.5348687379094827
113;5.41092328377594;-2.5348687379094827
114;7.3785317506035675;-2.5348687379094827
115;7.3785317506035675;-5.867868737909482
116;6.96861332001448;-5.867868737909482
117;5.902825400482847;-5.867868737909482
118;2.623477955770131;-5.867868737909482
119;0.0;-5.867868737909482
120;0.0;-5.867868737909482
121;0.0;-5.867868737909482
122;0.0;-5.867868737909482
123;0.0;-5.867868737909482
124;0.0;-5.867868737909482
125;0.0;-2.5348687379094827
126;0.0;-2.5348687379094827
127;0.0;-2.5348687379094827
128;0.0;-2.5348687379094827
129;0.0;-2.5348687379094827
130;0.0;-2.5348687379094827
131;0.0;-2.5348687379094827
132;0.0;-2.5348687379094827
133;0.0;-2.5348687379094827
134;0.0;-2.5348687379094827
135;-1.3117389778850068;-2.5348687379094827
136;0.40991843058905175;-2.5348687379094827
137;0.9018205472959551;-2.5348687379094827
138;0.0;-2.5348687379094827
139;0.0;-5.867868737909482
140;0.0;-5.867868737909482
141;0.0;-5.867868737909482
142;0.0;-5.867868737909482
143;0.0;-5.867868737909482
144;0.0;-5.867868737909482
145;0.0;-5.867868737909482
146;0.0;-5.867868737909482
147;0.0;-5.867868737909482
148;0.0;-5.867868737909482
149;0.0;-2.5348687379094827
150;0.0;-2.5348687379094827
151;0.0;-2.5348687379094827
152;0.0;-2.5348687379094827
153;0.0;-2.5348687379094827
154;0.0;-2.5348687379094827
155;0.0;-2.5348687379094827
156;0.0;-2.5348687379094827
157;0.0;-2.5348687379094827
158;0.0;-2.5348687379094827
159;0.0;-2.5348687379094827
160;0.0;-2.5348687379094827
161;0.0;-2.5348687379094827
162;0.0;-2.5348687379094827
163;0.0;6.666
164;0.0;6.666
165;0.0;6.666
166;0.0;6.666
167;0.0;6.666
168;0.0;-5.867868737909482
169;0.0;-5.867868737909482
170;0.0;-5.867868737909482
171;0.0;-5.867868737909482
172;0.0;-5.867868737909482
173;0.0;-2.5348687379094827
174;0.0;-2.5348687379094827
175;0.0;-2.5348687379094827
176;0.0;-2.5348687379094827
177;0.0;-2.5348687379094827
178;0.0;-2.5348687379094827
179;0.0;-2.5348687379094827
180;0.0;-2.5348687379094827
181;0.0;-2.5348687379094827
182;0.0;-2.5348687379094827
183;0.0;-2.5348687379094827
184;0.0;-2.5348687379094827
185;0.0;-2.5348687379094827
186;0.0;-2.5348687379094827
187;0.0;-5.867868737909482
188;0.0;-5.867868737909482
189;0.0;-5.867868737909482
190;0.0;-5.867868737909482
191;0.0;-5.867868737909482
192;0.0;-5.867868737909482
193;-0.1639673722356001;-5.867868737909482
194;0.0;-5.867868737909482
195;0.1639673722356001;-5.867868737909482
196;0.0;-5.867868737909482
197;0.0;-2.5348687379094827
198;0.0;-2.5348687379094827
199;0.0;-2.5348687379094827
200;0.0;-2.5348687379094827
201;0.0;-2.5348687379094827
202;0.0;-2.5348687379094827
203;0.0;-2.5348687379094827
204;0.0;-2.5348687379094827
205;0.0;-2.5348687379094827
206;0.0;-2.5348687379094827
207;0.0;-2.5348687379094827
208;0.0;-2.5348687379094827
209;0.0;-2.5348687379094827
210;0.0;-2.5348687379094827
211;0.0;-5.867868737909482
212;0.0;-5.867868737909482
213;0.0;-5.867868737909482
214;0.0;-5.867868737909482
215;0.0;-5.867868737909482
216;0.0;-5.867868737909482
217;0.0;-5.867868737909482
218;0.0;-5.867868737909482
219;0.0;-5.867868737909482
220;0.0;-5.867868737909482
221;0.0;-2.5348687379094827
222;0.0;-2.5348687379094827
223;0.0;-2.5348687379094827
224;0.0;-2.5348687379094827
225;0.0;-2.5348687379094827
226;0.0;-2.5348687379094827
227;0.0;-2.5348687379094827
228;0.0;-2.5348687379094827
229;0.0;-2.5348687379094827
230;0.0;-2.5348687379094827
231;0.0;-2.5348687379094827
232;0.0;-2.5348687379094827
233;0.0;-2.5348687379094827
234;0.0;-2.5348687379094827
235;0.0;-5.867868737909482
236;0.0;-5.867868737909482
237;0.0;-5.867868737909482
238;0.0;-5.867868737909482
239;0.0;-5.867868737909482
240;0.0;-5.867868737909482
241;0.0;-5.867868737909482
242;0.0;-5.867868737909482
243;0.0;-5.867868737909482
244;0.0;-5.867868737909482
245;0.0;-2.5348687379094827
246;0.0;-2.5348687379094827
247;0.0;-2.5348687379094827
248;0.0;-2.5348687379094827
249;0.0;-2.5348687379094827
250;0.0;-2.5348687379094827
251;0.0;-2.5348687379094827
252;0.0;-2.5348687379094827
253;0.0;-2.5348687379094827
254;0.0;-2.5348687379094827
255;0.0;-2.5348687379094827
256;0.0;-2.5348687379094827
257;0.0;-2.5348687379094827
258;0.0;-2.534868737909406
259;0.0;-5.867868737909482
260;0.0;-5.867868737909482
261;0.0;-5.867868737909482
262;0.0;-5.867868737909482
263;0.0;-5.867868737909482
264;0.0;-5.867868737909482
265;0.0;-5.867868737909482
266;0.0;-5.867868737909482
267;0.0;-5.867868737909482
268;0.0;-5.867868737909482
269;0.0;-2.5348687379094827
270;0.0;-2.5348687379094827
271;0.0;-2.5348687379094827
272;0.0;-2.5348687379094827
273;0.0;-2.5348687379094827
274;0.0;-2.5348687379094827
275;0.0;-2.5348687379094827
276;0.0;-2.5348687379094827
277;0.0;-2.5348687379094827
278;0.0;-2.5348687379094827
279;0.0;-2.5348687379094827
280;0.0;-2.5348687379094827
281;0.0;-2.5348687379094827
282;0.0;-2.5348687379094827
283;0.0;-5.867868737909482
284;0.0;-5.867868737909482
285;0.0;-5.867868737909482
286;0.0;-5.867868737909482
287;0.0;-5.867868737909482
288;0.0;-5.867868737909482
289;0.0;-5.867868737909482
290;0.0;-5.867868737909482
291;0.0;-5.867868737909482
292;0.0;-5.867868737909482
293;0.0;-2.5348687379094827
294;0.0;-2.5348687379094827
295;0.0;-2.5348687379094827
296;0.0;-2.5348687379094827
297;0.0;-2.5348687379094827
298;0.0;-2.5348687379094827
299;0.0;-2.5348687379094827
300;0.0;-2.5348687379094827
301;0.0;-2.5348687379094827
302;0.0;-2.5348687379094827
303;0.0;-2.5348687379094827
304;0.0;-2.5348687379094827
305;0.0;-2.5348687379094827
306;0.0;-2.5348687379094827
307;0.0;-5.867868737909482
308;0.0;-5.867868737909482
309;0.0;-5.867868737909482
310;0.0;-5.867868737909482
311;0.0;-5.867868737909482
312;0.0;-5.867868737909482
313;0.0;-5.867868737909482
314;0.0;-5.867868737909482
315;0.0;-5.867868737909482
316;0.0;-5.867868737909482
317;0.0;-2.5348687379094827
318;0.0;-2.534868737909406
319;0.0;-2.534868737909406
320;0.0;-2.5348687379094827
321;0.0;-2.5348687379094827
322;0.0;-2.5348687379094827
323;0.0;-2.5348687379094827
324;0.0;-2.5348687379094827
325;0.0;-2.5348687379094827
326;0.0;-2.5348687379094827
327;0.0;-2.5348687379094827
328;0.0;-2.5348687379094827
329;0.0;-2.5348687379094827
330;0.0;-2.5348687379094827
331;0.0;6.666
332;0.0;6.666
333;0.0;6.666
334;0.0;6.666
335;0.0;6.666
336;0.0;-5.867868737909482
337;0.0;-5.867868737909482
338;0.0;-5.867868737909482
339;0.0;-5.867868737909482
340;0.0;-5.867868737909482
341;0.0;-2.5348687379094827
342;0.0;-2.5348687379094827
343;0.0;-2.5348687379094827
344;0.0;-2.5348687379094827
345;0.0;-2.5348687379094827
346;0.0;-2.5348687379094827
347;0.0;-2.5348687379094827
348;0.0;-2.5348687379094827
349;0.0;-2.5348687379094827
350;0.0;-2.5348687379094827
351;0.0;-2.5348687379094827
352;0.0;-2.5348687379094827
353;0.0;-2.5348687379094827
354;0.0;-2.5348687379094827
355;0.0;-5.867868737909482
356;0.0;-5.867868737909482
357;0.0;-5.867868737909482
