;on_wind;battery storage;hydrogen_storage;Curtailment
2736;3.03;33.85;519.31;3.03
2737;1.72;36.48;519.31;1.72
2738;4.1;33.85;519.31;4.1
2739;1.56;33.85;519.31;1.56
2740;1.15;33.85;519.31;1.15
2741;0.0;31.23;515.97;0.0
2742;2.21;33.85;515.97;2.21
2743;7.13;33.85;515.97;7.13
2744;9.76;33.85;515.97;9.76
2745;10.19;35.14;515.97;10.19
2746;0.0;46.89;515.97;0.0
2747;0.0;49.43;515.97;0.0
2748;0.0;52.71;515.97;0.0
2749;0.0;55.41;515.97;0.0
2750;0.0;55.5;515.97;0.0
2751;0.0;53.61;515.97;0.0
2752;0.0;49.27;515.97;0.0
2753;0.0;39.84;515.97;0.0
2754;0.0;35.25;515.97;0.0
2755;0.0;34.75;519.31;0.0
2756;0.0;33.85;518.75;0.0
2757;0.0;33.85;518.75;0.0
2758;0.0;33.85;519.22;0.0
2759;0.0;33.85;518.75;0.0
2760;0.0;33.85;518.32;0.0
2761;0.0;33.85;517.97;0.0
2762;0.0;33.85;517.5;0.0
2763;0.0;33.85;516.55;0.0
2764;0.0;33.85;516.08;0.0
2765;0.0;33.85;511.58;0.0
2766;0.0;33.85;512.1;0.0
2767;0.0;33.85;514.85;0.0
2768;0.0;33.85;515.46;0.0
2769;0.0;33.85;514.98;0.0
2770;0.0;33.85;514.38;0.0
2771;0.0;33.85;513.95;0.0
2772;0.0;33.85;513.69;0.0
2773;0.0;33.85;513.47;0.0
2774;0.0;33.85;513.35;0.0
2775;0.0;33.85;512.91;0.0
2776;0.0;33.85;511.92;0.0
2777;0.0;33.85;510.24;0.0
2778;0.0;33.85;509.99;0.0
2779;0.0;33.85;513.36;0.0
2780;0.0;33.85;512.54;0.0
2781;0.0;33.85;511.34;0.0
2782;0.0;33.85;510.48;0.0
2783;0.0;33.85;510.09;0.0
2784;0.0;33.85;509.96;0.0
2785;0.0;33.85;510.05;0.0
2786;0.0;33.85;510.39;0.0
2787;0.0;33.85;510.39;0.0
2788;0.0;33.85;509.7;0.0
2789;0.0;31.26;506.22;0.0
2790;0.0;30.35;506.22;0.0
2791;0.0;30.27;506.22;0.0
2792;0.0;29.62;506.22;0.0
2793;0.0;29.29;506.22;0.0
2794;0.0;29.37;506.22;0.0
2795;0.0;15.97;513.44;0.0
2796;0.0;29.78;506.22;0.0
2797;0.0;16.05;513.44;0.0
2798;0.0;29.29;506.22;0.0
2799;0.0;29.12;506.22;0.0
2800;0.0;29.37;506.22;0.0
2801;0.0;31.01;506.22;0.0
2802;0.0;33.85;506.45;0.0
2803;0.0;33.85;512.37;0.0
2804;0.0;33.85;515.13;0.0
2805;0.0;33.85;517.5;0.0
2806;0.0;33.85;518.92;0.0
2807;0.0;33.85;518.75;0.0
2808;0.0;33.85;517.76;0.0
2809;0.0;33.85;517.11;0.0
2810;0.0;33.85;517.5;0.0
2811;0.0;33.85;517.15;0.0
2812;0.0;33.85;516.38;0.0
2813;0.0;33.85;509.68;0.0
2814;0.0;33.85;507.79;0.0
2815;0.0;33.85;508.78;0.0
2816;0.0;33.85;509.51;0.0
2817;0.0;27.91;512.55;0.0
2818;0.0;33.85;509.17;0.0
2819;0.0;33.85;509.12;0.0
2820;0.0;33.85;509.25;0.0
2821;0.0;33.85;509.12;0.0
2822;0.0;33.85;508.69;0.0
2823;0.0;33.85;508.26;0.0
2824;0.0;33.85;507.92;0.0
2825;0.0;33.85;508.26;0.0
2826;0.0;33.85;509.38;0.0
2827;0.0;33.85;516.08;0.0
2828;0.0;33.85;519.09;0.0
2829;0.0;35.57;519.31;0.0
2830;0.0;35.66;519.31;0.0
2831;0.0;36.64;519.31;0.0
2832;0.0;35.74;519.31;0.0
2833;0.0;33.85;518.79;0.0
2834;0.0;33.85;517.32;0.0
2835;0.0;33.85;516.55;0.0
2836;0.0;33.85;516.16;0.0
2837;0.0;31.54;513.44;0.0
2838;0.0;33.85;512.61;0.0
2839;0.0;33.76;513.44;0.0
2840;0.0;33.85;513.47;0.0
2841;0.0;33.85;512.79;0.0
2842;0.0;30.97;513.44;0.0
2843;0.0;30.23;513.44;0.0
2844;0.0;30.81;513.44;0.0
2845;0.0;33.35;513.44;0.0
2846;0.0;33.85;515.07;0.0
2847;0.0;34.75;515.97;0.0
2848;0.0;34.75;515.97;0.0
2849;0.0;33.85;515.41;0.0
2850;0.0;33.85;515.07;0.0
2851;0.0;55.82;506.77;0.0
2852;0.0;53.77;506.77;0.0
2853;0.0;51.64;506.77;0.0
2854;0.0;49.18;506.77;0.0
2855;0.0;46.56;506.77;0.0
2856;0.0;33.85;512.29;0.0
2857;0.0;33.85;511.29;0.0
2858;0.0;33.85;510.13;0.0
2859;0.0;32.98;509.56;0.0
2860;0.0;31.01;509.56;0.0
2861;0.0;29.94;506.22;0.0
2862;0.0;30.27;506.22;0.0
2863;0.0;29.62;506.22;0.0
2864;0.0;29.53;506.22;0.0
2865;0.0;29.78;506.22;0.0
2866;0.0;30.19;506.22;0.0
2867;0.0;30.68;506.22;0.0
2868;0.0;31.17;506.22;0.0
2869;0.0;31.67;506.22;0.0
2870;0.0;31.99;506.22;0.0
2871;0.0;32.4;506.22;0.0
2872;0.0;32.98;506.22;0.0
2873;0.0;33.85;506.45;0.0
2874;0.0;33.85;507.83;0.0
2875;0.0;33.85;512.85;0.0
2876;0.0;33.85;514.61;0.0
2877;0.0;33.85;516.59;0.0
2878;0.0;33.85;518.44;0.0
2879;0.0;36.56;518.1;0.0
2880;0.0;35.25;519.31;0.0
2881;0.0;34.67;519.31;0.0
2882;0.0;33.85;519.18;0.0
2883;0.0;33.85;518.4;0.0
2884;0.0;33.85;517.24;0.0
2885;0.0;33.85;509.86;0.0
2886;0.0;33.85;506.84;0.0
2887;0.0;33.85;506.24;0.0
2888;0.0;33.85;507.06;0.0
2889;0.0;33.85;506.37;0.0
2890;0.0;32.32;506.22;0.0
2891;0.0;31.58;506.22;0.0
2892;0.0;31.58;506.22;0.0
2893;0.0;31.91;506.22;0.0
2894;0.0;32.65;506.22;0.0
2895;0.0;33.85;506.32;0.0
2896;0.0;33.85;507.32;0.0
2897;0.0;33.85;509.17;0.0
2898;0.0;33.85;511.84;0.0
2899;0.0;33.85;517.32;0.0
2900;0.0;33.85;518.14;0.0
2901;0.0;33.85;518.14;0.0
2902;0.0;33.85;517.15;0.0
2903;0.0;33.85;516.12;0.0
2904;0.0;33.85;516.25;0.0
2905;0.0;33.85;516.98;0.0
2906;0.0;33.85;518.57;0.0
2907;0.0;34.1;519.31;0.0
2908;0.0;33.85;519.31;0.0
2909;0.0;33.85;514.59;0.0
2910;0.0;33.85;514.85;0.0
2911;0.0;33.85;513.99;0.0
2912;0.0;33.85;512.91;0.0
2913;0.0;33.85;512.91;0.0
2914;0.0;33.85;513.22;0.0
2915;0.0;33.85;513.47;0.0
2916;0.0;33.85;513.6;0.0
2917;0.0;33.85;513.73;0.0
2918;0.0;33.85;513.99;0.0
2919;0.0;33.85;514.34;0.0
2920;0.0;33.85;514.42;0.0
2921;0.0;33.85;513.26;0.0
2922;0.0;33.85;511.67;0.0
2923;0.0;33.85;514.48;0.0
2924;0.0;33.85;513.36;0.0
2925;0.0;33.85;512.2;0.0
2926;0.0;33.85;511.29;0.0
2927;0.0;33.85;510.61;0.0
2928;0.0;33.85;510.0;0.0
2929;0.0;33.22;509.56;0.0
2930;0.0;31.67;509.56;0.0
2931;0.0;30.35;509.56;0.0
2932;0.0;29.45;509.56;0.0
2933;0.0;28.88;506.22;0.0
2934;0.0;29.53;506.22;0.0
2935;0.0;29.7;506.22;0.0
2936;0.0;29.37;506.22;0.0
2937;0.0;29.12;506.22;0.0
2938;0.0;29.12;506.22;0.0
2939;0.0;29.29;506.22;0.0
2940;0.0;29.45;506.22;0.0
2941;0.0;29.78;506.22;0.0
2942;0.0;30.35;506.22;0.0
2943;0.0;31.09;506.22;0.0
2944;0.0;31.83;506.22;0.0
2945;0.0;32.98;506.22;0.0
2946;0.0;33.85;507.44;0.0
2947;0.0;33.85;513.28;0.0
2948;0.0;33.85;515.43;0.0
2949;0.0;33.85;516.38;0.0
2950;0.0;33.85;516.25;0.0
2951;0.0;33.85;515.86;0.0
2952;0.0;33.85;515.73;0.0
2953;0.0;33.85;515.82;0.0
2954;0.0;33.85;515.82;0.0
2955;0.0;33.85;515.73;0.0
2956;0.0;33.85;515.21;0.0
2957;0.0;33.85;508.52;0.0
2958;0.0;33.85;506.54;0.0
2959;0.0;33.85;507.14;0.0
2960;0.0;33.85;507.96;0.0
2961;0.0;33.85;508.0;0.0
2962;0.0;33.85;508.0;0.0
2963;0.0;33.85;507.83;0.0
2964;0.0;33.85;507.88;0.0
2965;0.0;33.85;508.39;0.0
2966;0.0;33.85;509.38;0.0
2967;0.0;33.85;510.37;0.0
2968;0.0;33.85;511.15;0.0
2969;0.0;33.85;513.26;0.0
2970;0.0;36.64;515.97;0.0
2971;0.0;42.13;519.31;0.0
2972;0.0;41.97;519.31;0.0
2973;0.0;40.08;519.31;0.0
2974;0.0;38.44;519.31;0.0
2975;0.0;38.44;519.31;0.0
2976;0.0;39.18;519.31;0.0
2977;0.0;38.03;519.31;0.0
2978;0.0;35.0;519.31;0.0
2979;0.0;33.85;518.19;0.0
2980;0.0;33.85;516.46;0.0
2981;0.0;33.85;511.19;0.0
2982;0.0;33.85;510.24;0.0
2983;0.0;33.85;509.34;0.0
2984;0.0;33.85;508.18;0.0
2985;0.0;33.85;506.97;0.0
2986;0.0;33.39;506.22;0.0
2987;0.0;31.58;506.22;0.0
2988;0.0;30.68;506.22;0.0
2989;0.0;30.35;506.22;0.0
2990;0.0;30.11;506.22;0.0
2991;0.0;30.27;506.22;0.0
2992;0.0;30.44;506.22;0.0
2993;0.0;30.6;506.22;0.0
2994;0.0;31.42;506.22;0.0
2995;0.0;31.67;509.56;0.0
2996;0.0;31.34;509.56;0.0
2997;0.0;30.93;509.56;0.0
2998;0.0;31.17;509.56;0.0
2999;0.0;32.32;509.56;0.0
3000;0.0;33.85;509.79;0.0
3001;0.0;33.85;511.04;0.0
3002;0.0;33.85;511.98;0.0
3003;0.0;33.85;512.24;0.0
3004;0.0;33.85;511.47;0.0
3005;0.0;33.39;506.22;0.0
3006;0.0;31.34;506.22;0.0
3007;0.0;30.19;506.22;0.0
3008;0.0;29.7;506.22;0.0
3009;0.0;29.37;506.22;0.0
3010;0.0;29.29;506.22;0.0
3011;0.0;29.29;506.22;0.0
3012;0.0;29.21;506.22;0.0
3013;0.0;29.37;506.22;0.0
3014;0.0;30.03;506.22;0.0
3015;0.0;32.24;506.22;0.0
3016;0.0;33.85;507.96;0.0
3017;0.0;33.85;511.41;0.0
3018;0.0;33.85;514.9;0.0
3019;0.0;58.78;506.77;0.0
3020;0.0;57.96;506.77;0.0
3021;7.82;48.91;506.77;7.82
3022;0.0;56.15;506.77;0.0
3023;21.89;33.85;506.77;21.89
3024;0.0;32.13;519.31;0.0
3025;0.0;32.46;519.31;0.0
3026;0.0;32.79;519.31;0.0
3027;0.0;33.28;519.31;0.0
