;grid;PEM input;Compressor;hydrogen_storage;Curtailment
141;17.36;-15.73;-1.64;-2.46;0
142;17.36;-15.73;-1.64;-2.46;0
143;17.36;-15.73;-1.64;-2.46;0
144;17.36;-15.73;-1.64;-2.46;0
145;17.36;-15.73;-1.64;-2.46;0
146;17.36;-15.73;-1.64;-2.46;0
147;17.36;-15.73;-1.64;-2.46;0
148;17.36;-15.73;-1.64;-2.46;0
149;17.36;-15.73;-1.64;0.88;0
150;17.36;-15.73;-1.64;0.88;0
151;17.36;-15.73;-1.64;0.88;0
152;17.36;-15.73;-1.64;0.88;0
153;17.36;-15.73;-1.64;0.88;0
154;17.36;-15.73;-1.64;0.88;0
155;17.36;-15.73;-1.64;0.88;0
156;17.36;-15.73;-1.64;0.88;0
157;17.36;-15.73;-1.64;0.88;0
158;17.36;-15.73;-1.64;0.88;0
159;17.36;-15.73;-1.64;0.88;0
160;17.36;-15.73;-1.64;0.88;0
161;17.36;-15.73;-1.64;0.88;0
162;17.36;-15.73;-1.64;0.88;0
163;-0.0;0.0;0.0;6.67;0
164;-0.0;0.0;0.0;6.67;0
165;-0.0;0.0;0.0;6.67;0
166;-0.0;0.0;0.0;6.67;0
167;-0.0;0.0;0.0;6.67;0
168;17.36;-15.73;-1.64;-2.46;0
169;17.36;-15.73;-1.64;-2.46;0
170;17.36;-15.73;-1.64;-2.46;0
171;17.36;-15.73;-1.64;-2.46;0
172;17.36;-15.73;-1.64;-2.46;0
173;17.36;-15.73;-1.64;0.88;0
174;17.36;-15.73;-1.64;0.88;0
175;17.36;-15.73;-1.64;0.88;0
176;17.36;-15.73;-1.64;0.88;0
177;17.36;-15.73;-1.64;0.88;0
178;17.36;-15.73;-1.64;0.88;0
179;17.36;-15.73;-1.64;0.88;0
180;17.36;-15.73;-1.64;0.88;0
181;17.36;-15.73;-1.64;0.88;0
182;17.36;-15.73;-1.64;0.88;0
183;17.36;-15.73;-1.64;0.88;0
184;17.36;-15.73;-1.64;0.88;0
185;17.36;-15.73;-1.64;0.88;0
186;17.36;-15.73;-1.64;0.88;0
187;17.36;-15.73;-1.64;-2.46;0
188;17.36;-15.73;-1.64;-2.46;0
189;17.36;-15.73;-1.64;-2.46;0
190;17.36;-15.73;-1.64;-2.46;0
191;17.36;-15.73;-1.64;-2.46;0
192;17.36;-15.73;-1.64;-2.46;0
193;17.36;-15.73;-1.64;-2.46;0
194;17.36;-15.73;-1.64;-2.46;0
195;8.64;-7.83;-0.81;2.12;0
196;17.36;-15.73;-1.64;-2.46;0
197;17.36;-15.73;-1.64;0.88;0
