snapshot;grid;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
77;6.34;6.67;5.75;3.33;-3.33;-3.33;0.6;0.0;10.0
78;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
79;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
80;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
81;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
82;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
83;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
84;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
85;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
86;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
87;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
88;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
89;13.84;2.73;12.53;7.27;-7.27;-7.27;1.3;0.0;10.0
90;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
91;3.86;4.64;3.49;2.03;-2.03;-2.03;0.36;0.0;6.67
92;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
93;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
94;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
95;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
96;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
97;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
98;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
99;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
100;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
101;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
102;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
103;15.36;1.93;13.91;8.07;-8.07;-8.07;1.45;0.0;10.0
104;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
105;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
106;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
107;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
108;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
109;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
110;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
111;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
112;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
113;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
114;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
115;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
116;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
117;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
118;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
119;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
120;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
121;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
122;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
123;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
124;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
125;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
126;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
127;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
128;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
129;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
130;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
131;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
132;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
133;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
134;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
135;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
136;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
137;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
138;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
139;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
140;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
141;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
142;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
143;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
144;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
145;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
146;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
147;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
148;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
149;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
150;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
151;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
152;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
153;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
154;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
155;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
156;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
157;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
158;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
