snapshot;pv;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
956;-0.0;14.55;0.0;-0.98;13.18;7.65;-7.65;-7.65;1.37;0.0;6.67
957;-0.0;13.65;0.0;-0.5;12.36;7.17;-7.17;-7.17;1.29;0.0;6.67
958;-0.0;13.65;11.23;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
959;-0.0;13.39;0.0;-0.37;12.13;7.03;-7.03;-7.03;1.26;0.0;6.67
960;-0.0;12.01;0.68;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
961;-0.0;10.75;0.0;1.02;9.74;5.65;-5.65;-5.65;1.01;0.0;6.67
962;-0.0;10.11;0.0;1.36;9.15;5.31;-5.31;-5.31;0.95;0.0;6.67
963;-0.0;9.29;3.4;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
964;-0.0;10.15;0.0;1.33;9.19;5.33;-5.33;-5.33;0.96;0.0;6.67
965;-0.0;10.71;14.16;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
966;-0.0;11.14;7.89;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
967;1.44;12.74;10.69;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
968;10.25;12.35;0.0;-1.88;20.48;11.88;-11.88;-11.88;2.13;0.0;10.0
969;21.62;11.75;-8.5;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
970;24.61;15.85;-15.58;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
971;27.03;17.78;-19.93;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
972;25.68;19.13;-19.93;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
973;19.85;19.13;-14.11;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
974;9.79;16.76;-1.67;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
975;1.82;18.66;4.4;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
976;-0.0;21.81;3.06;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
977;-0.0;23.37;1.51;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
978;-0.0;24.66;0.21;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
979;-0.0;26.86;-1.99;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
980;-0.0;28.25;-3.37;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
981;-0.0;27.99;-3.11;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
982;-0.0;24.36;0.52;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
983;-0.0;22.59;2.29;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
984;-0.0;22.76;2.11;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
985;-0.0;22.29;2.59;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
986;-0.0;23.24;1.64;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
987;-0.0;21.9;2.98;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
988;-0.0;19.74;5.14;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
989;-0.0;20.95;3.93;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
990;-0.0;21.34;3.54;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
991;0.14;24.96;-0.23;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
992;0.56;24.96;-0.65;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
993;0.7;24.45;-0.27;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
994;1.4;24.14;-0.67;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
995;2.1;24.01;-1.24;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
996;2.42;22.29;0.17;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
997;2.61;20.69;1.58;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
998;1.54;19.74;3.6;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
999;0.19;18.66;6.03;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1000;-0.0;17.28;7.6;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1001;-0.0;16.15;8.72;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1002;-0.0;14.3;10.58;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1003;-0.0;13.17;-13.17;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1004;-0.0;12.74;-12.74;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1005;-0.0;12.27;-12.27;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1006;-0.0;11.66;-11.66;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1007;-0.0;10.84;-10.84;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1008;-0.0;10.11;0.0;1.36;9.15;5.31;-5.31;-5.31;0.95;0.0;6.67
1009;-0.0;9.5;0.0;1.67;8.61;4.99;-4.99;-4.99;0.89;0.0;6.67
1010;-0.0;8.29;0.0;2.31;7.51;4.36;-4.36;-4.36;0.78;0.0;6.67
1011;-0.0;7.3;0.0;2.83;6.61;3.83;-3.83;-3.83;0.69;0.0;6.67
1012;-0.0;6.56;0.0;3.22;5.95;3.45;-3.45;-3.45;0.62;0.0;6.67
1013;-0.0;5.79;0.0;6.96;5.24;3.04;-3.04;-3.04;0.55;0.0;10.0
1014;-0.0;5.05;0.47;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1015;0.28;3.76;1.49;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1016;0.93;2.76;1.83;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1017;1.86;2.5;1.16;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1018;3.26;2.63;0.0;6.9;5.34;3.1;-3.1;-3.1;0.56;0.0;10.0
1019;4.47;3.02;0.0;6.06;6.79;3.94;-3.94;-3.94;0.71;0.0;10.0
1020;4.33;3.28;0.0;6.0;6.9;4.0;-4.0;-4.0;0.72;0.0;10.0
1021;3.08;3.24;0.0;6.68;5.72;3.32;-3.32;-3.32;0.59;0.0;10.0
1022;1.68;2.76;1.09;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1023;0.33;2.59;2.61;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1024;-0.0;2.33;3.2;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1025;-0.0;1.68;3.84;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1026;-0.0;1.08;4.45;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1027;-0.0;0.82;4.71;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1028;-0.0;0.99;4.53;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1029;-0.0;1.43;4.1;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1030;-0.0;1.99;3.54;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1031;-0.0;2.46;3.07;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1032;-0.0;2.68;2.85;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1033;-0.0;2.94;2.59;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1034;-0.0;3.2;2.33;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1035;-0.0;3.37;2.16;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1036;-0.0;3.46;2.07;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1037;-0.0;3.63;1.9;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1038;-0.0;3.89;1.64;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1039;1.77;3.67;0.09;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1040;4.61;2.25;0.0;6.4;6.21;3.6;-3.6;-3.6;0.65;0.0;10.0
1041;7.74;1.43;0.0;5.19;8.3;4.81;-4.81;-4.81;0.86;0.0;10.0
1042;8.81;1.04;0.0;4.83;8.92;5.17;-5.17;-5.17;0.93;0.0;10.0
1043;8.25;0.69;0.0;5.3;8.1;4.7;-4.7;-4.7;0.84;0.0;10.0
1044;7.97;0.35;0.0;5.63;7.53;4.37;-4.37;-4.37;0.78;0.0;10.0
1045;6.8;0.17;0.0;6.33;6.32;3.67;-3.67;-3.67;0.66;0.0;10.0
1046;4.75;0.13;0.64;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1047;1.96;0.22;3.35;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1048;-0.0;0.73;4.79;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1049;-0.0;1.86;3.67;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1050;-0.0;3.07;2.46;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1051;-0.0;3.89;1.64;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1052;-0.0;4.45;1.08;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1053;-0.0;5.14;0.39;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1054;-0.0;5.79;0.0;3.63;5.24;3.04;-3.04;-3.04;0.55;0.0;6.67
1055;-0.0;6.0;0.0;3.51;5.44;3.15;-3.15;-3.15;0.57;0.0;6.67
1056;-0.0;6.13;0.0;3.44;5.56;3.22;-3.22;-3.22;0.58;0.0;6.67
1057;-0.0;6.31;0.0;3.35;5.71;3.31;-3.31;-3.31;0.59;0.0;6.67
1058;-0.0;6.09;0.0;3.47;5.52;3.2;-3.2;-3.2;0.57;0.0;6.67
1059;-0.0;6.09;0.0;3.47;5.52;3.2;-3.2;-3.2;0.57;0.0;6.67
1060;-0.0;6.22;0.0;3.4;5.63;3.27;-3.27;-3.27;0.59;0.0;6.67
1061;-0.0;5.96;0.0;6.87;5.4;3.13;-3.13;-3.13;0.56;0.0;10.0
1062;-0.0;5.7;0.0;7.0;5.16;3.0;-3.0;-3.0;0.54;0.0;10.0
1063;2.05;4.66;0.0;6.47;6.08;3.53;-3.53;-3.53;0.63;0.0;10.0
1064;10.72;3.33;0.0;2.62;12.72;7.38;-7.38;-7.38;1.32;0.0;10.0
1065;23.77;2.59;-1.48;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1066;30.15;1.94;-7.22;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1067;31.08;1.47;-7.68;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1068;29.22;1.12;-5.47;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1069;24.33;1.08;-0.53;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1070;16.4;1.38;0.0;0.65;16.11;9.34;-9.34;-9.34;1.68;0.0;10.0
1071;5.87;2.46;0.0;5.62;7.55;4.38;-4.38;-4.38;0.78;0.0;10.0
1072;-0.0;4.1;1.42;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1073;-0.0;6.48;0.0;6.6;5.87;3.4;-3.4;-3.4;0.61;0.0;10.0
1074;-0.0;9.46;0.0;5.03;8.57;4.97;-4.97;-4.97;0.89;0.0;10.0
1075;-0.0;12.18;0.0;0.27;11.03;6.4;-6.4;-6.4;1.15;0.0;6.67
1076;-0.0;13.43;0.0;-0.39;12.17;7.06;-7.06;-7.06;1.27;0.0;6.67
1077;-0.0;13.0;0.0;-0.16;11.78;6.83;-6.83;-6.83;1.22;0.0;6.67
1078;-0.0;11.83;0.0;0.45;10.72;6.22;-6.22;-6.22;1.11;0.0;6.67
1079;-0.0;9.85;0.0;1.49;8.92;5.17;-5.17;-5.17;0.93;0.0;6.67
1080;-0.0;7.21;0.0;2.88;6.53;3.79;-3.79;-3.79;0.68;0.0;6.67
1081;-0.0;5.27;0.26;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1082;-0.0;4.41;1.12;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1083;-0.0;4.19;1.34;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1084;-0.0;4.36;1.17;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
1085;-0.0;4.45;1.08;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1086;-0.0;4.49;1.04;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1087;3.31;4.41;0.0;5.95;6.99;4.05;-4.05;-4.05;0.73;0.0;10.0
1088;14.17;3.93;0.0;0.49;16.39;9.51;-9.51;-9.51;1.7;0.0;10.0
1089;24.05;3.54;-2.71;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1090;29.31;4.32;-8.76;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1091;30.43;4.66;-10.22;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1092;28.52;5.1;-8.74;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1093;23.49;5.05;-3.67;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1094;15.05;4.71;0.0;-0.38;17.9;10.38;-10.38;-10.38;1.86;0.0;10.0
1095;3.68;6.35;9.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1096;-0.0;10.75;8.28;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1097;-0.0;15.85;3.18;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1098;-0.0;18.36;0.68;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1099;-0.0;17.84;0.0;-2.71;16.16;9.37;-9.37;-9.37;1.68;0.0;6.67
1100;-0.0;17.15;0.0;-2.34;15.53;9.01;-9.01;-9.01;1.62;0.0;6.67
1101;-0.0;16.11;0.0;-1.8;14.59;8.46;-8.46;-8.46;1.52;0.0;6.67
1102;-0.0;14.81;0.0;-1.12;13.42;7.78;-7.78;-7.78;1.4;0.0;6.67
1103;-0.0;13.95;0.0;-0.66;12.64;7.33;-7.33;-7.33;1.31;0.0;6.67
1104;-0.0;13.69;0.0;-0.53;12.4;7.19;-7.19;-7.19;1.29;0.0;6.67
1105;-0.0;13.56;4.72;-2.94;16.56;9.6;-9.6;-9.6;1.72;0.0;6.67
1106;-0.0;13.17;0.0;-0.25;11.93;6.92;-6.92;-6.92;1.24;0.0;6.67
1107;-0.0;12.87;0.0;-0.1;11.66;6.76;-6.76;-6.76;1.21;0.0;6.67
1108;-0.0;12.7;0.0;-0.0;11.5;6.67;-6.67;-6.67;1.2;0.0;6.67
1109;-0.0;12.57;6.46;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1110;-0.0;13.35;0.0;2.99;12.09;7.01;-7.01;-7.01;1.26;0.0;10.0
1111;2.24;14.04;0.0;1.45;14.74;8.55;-8.55;-8.55;1.53;0.0;10.0
1112;10.44;11.27;0.0;-1.41;19.67;11.41;-11.41;-11.41;2.04;0.0;10.0
1113;13.56;11.83;-0.52;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1114;15.19;14.55;-4.87;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1115;13.33;15.85;-4.3;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1116;9.97;16.71;-1.81;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1117;4.66;14.9;0.0;-0.28;17.72;10.28;-10.28;-10.28;1.84;0.0;10.0
1118;1.68;14.04;0.0;1.74;14.23;8.26;-8.26;-8.26;1.48;0.0;10.0
1119;0.33;14.21;10.34;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1120;-0.0;13.43;5.6;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1121;-0.0;13.82;0.0;2.74;12.52;7.26;-7.26;-7.26;1.3;0.0;10.0
1122;-0.0;14.08;4.95;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1123;-0.0;14.25;0.0;-0.82;12.91;7.49;-7.49;-7.49;1.34;0.0;6.67
1124;-0.0;16.24;8.64;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1125;-0.0;20.21;4.66;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1126;-0.0;22.67;0.0;-5.25;20.54;11.91;-11.91;-11.91;2.14;0.0;6.67
1127;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1128;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1129;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1130;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1131;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1132;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1133;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1134;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1135;1.03;23.85;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1136;1.26;23.62;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1137;1.54;23.34;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1138;5.31;19.56;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1139;10.39;14.48;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1140;14.26;13.87;-3.25;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1141;5.31;19.56;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1142;0.61;24.27;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1143;0.05;38.78;-13.96;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1144;-0.0;38.4;-13.52;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1145;-0.0;37.14;-12.27;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1146;-0.0;35.2;-10.32;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1147;-0.0;32.52;-7.65;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1148;-0.0;29.8;-4.93;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1149;-0.0;26.26;-1.38;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1150;-0.0;25.05;-0.17;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1151;-0.0;23.62;1.25;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1152;-0.0;22.42;2.46;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1153;-0.0;20.56;4.32;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1154;-0.0;17.06;7.82;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1155;-0.0;11.4;13.47;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1156;-0.0;9.24;15.63;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1157;-0.0;9.8;15.07;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1158;-0.0;17.45;7.43;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1159;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1160;0.37;24.5;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1161;2.24;22.64;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1162;3.26;21.61;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1163;2.66;22.22;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1164;2.24;22.64;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1165;2.98;21.89;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1166;3.4;21.47;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1167;1.03;25.78;-1.93;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1168;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1169;-0.0;28.25;-3.37;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1170;-0.0;23.62;1.25;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1171;-0.0;19.74;-19.74;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1172;-0.0;15.46;-15.46;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1173;-0.0;15.46;-15.46;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1174;-0.0;13.6;-13.6;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1175;-0.0;11.4;-11.4;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
1176;-0.0;10.28;0.0;1.27;9.31;5.4;-5.4;-5.4;0.97;0.0;6.67
1177;-0.0;11.66;1.03;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
1178;-0.0;12.22;12.65;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1179;-0.0;10.15;0.0;1.33;9.19;5.33;-5.33;-5.33;0.96;0.0;6.67
1180;-0.0;7.34;5.35;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
1181;-0.0;4.66;0.86;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1182;-0.0;3.46;15.58;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1183;1.4;2.72;14.91;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1184;7.13;2.55;3.05;3.31;11.53;6.69;-6.69;-6.69;1.2;0.0;10.0
1185;21.39;2.29;0.0;-2.44;21.45;12.44;-12.44;-12.44;2.23;0.0;10.0
1186;27.59;2.03;-4.74;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1187;28.43;2.72;-6.27;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1188;22.37;3.37;-0.86;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1189;11.14;4.32;0.0;1.88;14.0;8.12;-8.12;-8.12;1.46;0.0;10.0
1190;3.82;3.5;0.0;6.15;6.63;3.85;-3.85;-3.85;0.69;0.0;10.0
1191;1.3;2.63;1.59;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
1192;-0.0;3.8;19.93;-2.47;21.5;12.47;-12.47;-12.47;2.24;0.0;10.0
1193;-0.0;5.7;13.33;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
1194;-0.0;7.43;0.0;6.1;6.73;3.9;-3.9;-3.9;0.7;0.0;10.0
1195;-0.0;8.72;0.0;2.08;7.9;4.58;-4.58;-4.58;0.82;0.0;6.67
1196;-0.0;9.37;3.32;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
1197;-0.0;10.41;0.0;1.2;9.43;5.47;-5.47;-5.47;0.98;0.0;6.67
1198;-0.0;12.01;0.0;0.36;10.88;6.31;-6.31;-6.31;1.13;0.0;6.67
1199;-0.0;14.73;0.0;-1.07;13.34;7.74;-7.74;-7.74;1.39;0.0;6.67
1200;-0.0;17.19;0.0;-2.36;15.57;9.03;-9.03;-9.03;1.62;0.0;6.67
1201;-0.0;19.39;0.0;-3.52;17.57;10.19;-10.19;-10.19;1.83;0.0;6.67
1202;-0.0;21.51;0.0;-4.63;19.48;11.3;-11.3;-11.3;2.03;0.0;6.67
1203;-0.0;23.28;0.0;-5.56;21.09;12.23;-12.23;-12.23;2.19;0.0;6.67
1204;-0.0;24.23;0.0;-6.06;21.95;12.73;-12.73;-12.73;2.28;0.0;6.67
1205;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1206;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1207;0.98;23.9;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1208;1.77;23.1;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1209;2.28;22.59;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1210;3.36;21.52;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1211;3.5;21.38;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1212;2.89;31.3;-9.32;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1213;1.54;23.34;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1214;0.75;34.16;-10.03;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1215;0.14;34.03;-9.3;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1216;-0.0;33.26;-8.38;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1217;-0.0;32.69;-7.82;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1218;-0.0;31.61;-6.74;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
1219;-0.0;30.53;-5.66;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1220;-0.0;29.8;-4.93;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1221;-0.0;29.2;-4.32;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1222;-0.0;28.63;-3.76;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1223;-0.0;27.68;-2.81;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1224;-0.0;27.47;-2.59;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1225;-0.0;25.65;-0.78;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1226;-0.0;26.09;-1.21;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1227;-0.0;25.91;-1.04;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1228;-0.0;25.91;-1.04;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1229;-0.0;22.8;0.0;-1.98;20.66;11.98;-11.98;-11.98;2.15;0.0;10.0
1230;-0.0;20.99;0.0;-1.03;19.01;11.03;-11.03;-11.03;1.98;0.0;10.0
1231;0.42;19.82;0.0;-0.64;18.34;10.64;-10.64;-10.64;1.91;0.0;10.0
