snapshot;pv;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
614;0.75;3.97;0.81;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
615;-0.0;5.18;0.35;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
616;-0.0;6.74;0.0;6.46;6.1;3.54;-3.54;-3.54;0.63;0.0;10.0
617;-0.0;8.16;0.0;5.71;7.39;4.29;-4.29;-4.29;0.77;0.0;10.0
618;-0.0;8.08;0.0;5.76;7.32;4.24;-4.24;-4.24;0.76;0.0;10.0
619;-0.0;7.56;0.0;2.7;6.85;3.97;-3.97;-3.97;0.71;0.0;6.67
620;-0.0;7.6;0.0;2.67;6.89;3.99;-3.99;-3.99;0.72;0.0;6.67
621;-0.0;8.16;0.0;2.38;7.39;4.29;-4.29;-4.29;0.77;0.0;6.67
622;-0.0;8.81;0.0;2.04;7.98;4.63;-4.63;-4.63;0.83;0.0;6.67
623;-0.0;8.9;0.0;1.99;8.06;4.67;-4.67;-4.67;0.84;0.0;6.67
624;-0.0;8.77;0.0;2.06;7.94;4.61;-4.61;-4.61;0.83;0.0;6.67
625;-0.0;10.28;0.0;1.27;9.31;5.4;-5.4;-5.4;0.97;0.0;6.67
626;-0.0;12.52;0.0;0.09;11.35;6.58;-6.58;-6.58;1.18;0.0;6.67
627;-0.0;13.65;-0.96;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
628;-0.0;14.55;0.0;-0.98;13.18;7.65;-7.65;-7.65;1.37;0.0;6.67
629;-0.0;15.2;0.0;2.01;13.77;7.99;-7.99;-7.99;1.43;0.0;10.0
630;-0.0;15.33;-2.53;3.27;11.6;6.73;-6.73;-6.73;1.21;0.0;10.0
631;0.14;15.03;0.0;2.03;13.74;7.97;-7.97;-7.97;1.43;0.0;10.0
632;1.77;13.47;-9.72;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
633;4.57;11.27;0.0;1.68;14.35;8.32;-8.32;-8.32;1.49;0.0;10.0
634;7.36;11.83;-0.16;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
635;8.48;12.78;-2.23;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
636;7.64;12.31;-14.42;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
637;5.73;11.1;0.0;1.16;15.25;8.84;-8.84;-8.84;1.59;0.0;10.0
638;3.22;11.4;0.0;2.32;13.24;7.68;-7.68;-7.68;1.38;0.0;10.0
639;0.23;13.43;0.0;2.82;12.38;7.18;-7.18;-7.18;1.29;0.0;10.0
640;-0.0;14.04;0.0;2.62;12.71;7.37;-7.37;-7.37;1.32;0.0;10.0
641;-0.0;12.31;0.0;3.53;11.15;6.47;-6.47;-6.47;1.16;0.0;10.0
642;-0.0;10.62;0.0;4.42;9.62;5.58;-5.58;-5.58;1.0;0.0;10.0
643;-0.0;8.55;0.0;2.17;7.75;4.49;-4.49;-4.49;0.81;0.0;6.67
644;-0.0;6.35;0.0;3.33;5.75;3.34;-3.34;-3.34;0.6;0.0;6.67
645;-0.0;4.71;0.82;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
646;-0.0;3.71;1.81;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
647;-0.0;3.02;2.5;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
648;-0.0;2.46;3.07;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
649;-0.0;1.77;3.76;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
650;-0.0;1.08;4.45;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
651;-0.0;0.65;4.88;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
652;-0.0;0.3;5.23;3.76;5.01;2.9;-2.9;-2.9;0.52;0.0;6.67
653;-0.0;0.09;5.44;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
654;-0.0;0.17;5.36;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
655;1.21;0.39;3.93;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
656;4.61;0.48;0.44;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
657;8.95;0.39;0.0;5.09;8.46;4.9;-4.9;-4.9;0.88;0.0;10.0
658;18.36;0.35;0.0;0.17;16.94;9.83;-9.83;-9.83;1.76;0.0;10.0
659;26.38;0.39;-1.89;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
660;25.63;0.56;-1.32;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
661;19.39;0.86;0.0;-0.64;18.34;10.64;-10.64;-10.64;1.91;0.0;10.0
662;10.39;1.55;0.0;3.72;10.82;6.28;-6.28;-6.28;1.13;0.0;10.0
663;1.35;3.41;0.76;7.09;5.01;2.9;-2.9;-2.9;0.52;0.0;10.0
664;-0.0;6.09;0.0;6.8;5.52;3.2;-3.2;-3.2;0.57;0.0;10.0
665;-0.0;8.12;2.44;4.45;9.57;5.55;-5.55;-5.55;0.99;0.0;10.0
666;-0.0;9.42;0.0;5.05;8.53;4.95;-4.95;-4.95;0.89;0.0;10.0
667;-0.0;9.72;-9.72;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
668;-0.0;10.02;-10.02;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
