;on_wind;pv;battery storage;hydrogen_storage;Curtailment
144;0.0;0.0;19.93;181.65;0.0
145;0.0;0.0;19.93;182.19;0.0
146;0.0;0.0;19.93;181.85;0.0
147;0.0;0.0;19.93;181.29;0.0
148;0.0;0.0;10.43;185.55;0.0
149;0.0;0.0;16.4;179.15;0.0
150;0.0;0.0;17.78;179.15;0.0
151;0.0;0.0;17.35;179.15;0.0
152;0.0;0.0;17.29;179.15;0.0
153;0.0;0.0;17.64;179.15;0.0
154;0.0;0.0;12.27;182.22;0.0
155;0.0;0.0;18.39;179.15;0.0
156;0.0;0.0;19.93;179.31;0.0
157;0.0;0.0;17.24;182.22;0.0
158;0.0;0.0;15.72;182.22;0.0
159;0.0;0.0;15.96;182.22;0.0
160;0.0;0.0;17.73;182.22;0.0
161;0.0;0.0;17.77;182.22;0.0
162;0.0;0.0;18.55;182.22;0.0
163;3.87;0.0;39.86;172.48;3.87
164;2.23;0.0;39.86;172.48;2.23
165;21.72;0.0;19.93;172.48;21.72
166;3.91;0.0;39.86;172.48;3.91
167;4.08;0.0;39.86;172.48;4.08
168;0.0;0.0;19.93;184.6;0.0
169;0.0;0.0;19.93;183.69;0.0
170;0.0;0.0;19.93;182.58;0.0
171;0.0;0.0;19.93;183.37;0.0
172;0.0;0.0;19.93;183.01;0.0
173;0.0;0.0;19.56;179.15;0.0
174;0.0;0.0;18.09;179.15;0.0
175;0.0;0.0;19.93;177.79;0.0
176;0.0;0.0;17.78;179.15;0.0
177;0.0;0.0;19.93;178.05;0.0
178;0.0;0.0;19.93;179.08;0.0
179;0.0;0.0;19.93;179.23;0.0
180;0.0;0.0;19.93;180.79;0.0
181;0.0;0.0;19.93;181.49;0.0
182;0.0;0.0;19.93;179.55;0.0
183;0.0;0.0;19.93;179.18;0.0
184;0.0;0.0;19.93;180.06;0.0
185;0.0;0.0;19.93;179.77;0.0
186;0.0;0.0;19.93;179.43;0.0
187;0.0;0.0;19.93;182.24;0.0
188;0.0;0.0;19.93;182.51;0.0
189;0.0;0.0;19.93;183.08;0.0
190;0.0;0.0;19.93;182.56;0.0
191;0.0;0.0;19.93;181.56;0.0
192;0.0;0.0;19.93;180.67;0.0
193;0.0;0.0;19.93;180.11;0.0
194;0.0;0.0;19.93;179.9;0.0
195;0.0;0.0;19.93;179.04;0.0
196;0.0;0.0;19.93;179.27;0.0
197;0.0;0.0;18.97;178.12;0.0
198;0.0;0.0;19.93;179.63;0.0
199;0.0;0.0;19.93;179.29;0.0
200;0.0;0.0;19.93;179.85;0.0
201;0.0;0.0;22.01;182.22;0.0
202;0.0;0.0;22.92;182.22;0.0
203;0.0;0.0;19.93;181.85;0.0
204;0.0;0.0;19.93;180.46;0.0
205;0.0;0.0;14.89;182.22;0.0
206;0.0;0.0;19.93;178.08;0.0
207;0.0;0.0;19.93;177.36;0.0
208;0.0;0.0;19.93;176.93;0.0
209;0.0;0.0;19.93;177.25;0.0
210;0.0;0.0;19.93;176.55;0.0
211;0.0;0.0;19.93;179.86;0.0
212;0.0;0.0;19.93;180.7;0.0
213;0.0;0.0;19.93;181.72;0.0
214;0.0;0.0;19.93;181.92;0.0
215;0.0;0.0;19.93;181.79;0.0
216;0.0;0.0;19.93;180.97;0.0
217;0.0;0.0;10.39;185.55;0.0
218;0.0;0.0;9.78;185.55;0.0
219;0.0;0.0;19.93;180.72;0.0
220;0.0;0.0;10.95;185.55;0.0
221;0.0;0.0;17.65;179.15;0.0
222;0.0;0.0;17.4;179.15;0.0
223;0.0;0.0;11.6;182.22;0.0
224;0.0;0.0;18.82;179.15;0.0
225;0.0;0.0;12.8;182.22;0.0
226;0.0;0.0;19.78;179.15;0.0
227;0.0;0.0;19.8;179.15;0.0
228;0.0;0.0;18.13;179.15;0.0
229;0.0;0.0;16.79;179.15;0.0
230;0.0;0.0;11.51;182.22;0.0
231;0.0;0.0;18.65;179.15;0.0
232;0.0;0.0;13.45;182.22;0.0
233;0.0;0.0;19.93;179.81;0.0
234;0.0;0.0;16.95;182.22;0.0
235;0.0;0.0;19.93;185.17;0.0
236;6.13;0.0;19.93;185.55;6.13
237;7.69;0.0;19.93;185.55;7.69
238;8.47;0.0;19.93;185.55;8.47
239;4.03;0.0;22.56;185.55;4.03
240;6.39;0.0;19.93;185.55;6.39
241;0.0;0.0;26.8;185.55;0.0
242;0.0;0.0;27.96;185.55;0.0
243;0.0;0.0;29.0;185.55;0.0
244;0.0;0.0;27.92;185.55;0.0
245;0.0;0.0;26.97;182.22;0.0
246;0.0;0.0;23.6;182.22;0.0
247;0.0;0.0;19.59;182.22;0.0
248;0.0;0.0;16.84;182.22;0.0
249;0.0;0.0;13.37;182.22;0.0
250;0.0;0.0;13.73;182.22;0.0
251;0.0;0.0;15.48;182.22;0.0
252;0.0;0.0;16.53;182.22;0.0
253;0.0;0.0;16.08;182.22;0.0
254;0.0;0.0;14.59;182.22;0.0
255;0.0;0.0;15.05;182.22;0.0
256;0.0;0.0;16.56;182.22;0.0
257;0.0;0.0;17.38;182.22;0.0
258;0.0;0.0;18.64;182.22;0.0
259;0.65;0.0;19.93;185.55;0.65
260;3.15;0.0;19.93;185.55;3.15
261;5.23;0.0;19.93;185.55;5.23
262;7.04;0.0;19.93;185.55;7.04
