snapshot;pv;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
68;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
69;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
70;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
71;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
72;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
73;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
74;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
75;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
76;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
77;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
78;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
79;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
80;0.68;34.11;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
81;4.1;14.93;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
82;19.14;0.0;-0.05;17.33;10.05;-10.05;-10.05;1.8;0.0;10.0
83;26.65;0.0;-4.0;24.14;14.0;-14.0;-14.0;2.51;0.0;10.0
84;9.57;0.0;4.97;8.67;5.03;-5.03;-5.03;0.9;0.0;10.0
85;3.42;4.31;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
86;0.68;7.05;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
87;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
88;-0.0;10.68;4.39;9.67;5.61;-5.61;-5.61;1.01;0.0;10.0
89;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
90;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
91;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
92;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
93;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
94;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
95;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
96;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
97;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
98;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
99;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
100;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
101;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
102;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
103;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
104;14.35;14.74;-5.29;26.35;15.28;-15.28;-15.28;2.74;0.0;10.0
105;66.97;-32.18;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
106;140.1;-105.31;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
107;209.12;-174.33;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
108;209.12;-174.33;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
109;156.5;-121.71;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
110;51.26;-16.46;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
111;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
112;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
113;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
114;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
115;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
116;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
117;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
118;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
119;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
120;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
121;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
122;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
123;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
124;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
125;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
126;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
127;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
128;6.15;12.88;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
129;13.67;4.13;0.65;16.12;9.35;-9.35;-9.35;1.68;0.0;10.0
130;15.03;0.0;2.1;13.62;7.9;-7.9;-7.9;1.42;0.0;10.0
131;40.32;-5.53;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
132;97.04;-62.25;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
133;77.22;-42.43;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
134;21.87;0.0;-1.49;19.81;11.49;-11.49;-11.49;2.06;0.0;10.0
135;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
136;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
137;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
138;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
139;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
140;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
141;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
142;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
143;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
144;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
145;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
146;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
147;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
148;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
149;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
150;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
151;-0.0;30.8;-6.18;27.89;16.18;-16.18;-16.18;2.9;0.0;10.0
152;12.98;6.05;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
153;40.32;-5.53;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
154;58.09;-23.3;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
155;70.39;-35.6;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
156;83.38;-48.58;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
157;83.38;-48.58;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
158;29.39;0.0;-5.44;26.62;15.44;-15.44;-15.44;2.77;0.0;10.0
159;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
160;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
161;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
162;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
163;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
164;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
165;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
166;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
167;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
168;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
169;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
