;pv;battery storage;hydrogen_storage;Curtailment
1136;0.0;174.33;232.51;0.0
1137;0.0;174.33;234.67;0.0
1138;43.12;174.33;241.1;43.12
1139;103.86;188.08;241.1;103.86
1140;0.0;348.66;241.1;0.0
1141;0.0;217.45;241.1;0.0
1142;0.0;174.33;227.49;0.0
1143;0.0;167.28;226.88;0.0
1144;0.0;166.6;226.88;0.0
1145;0.0;166.6;226.88;0.0
1146;0.0;166.6;226.88;0.0
1147;0.0;166.6;230.21;0.0
1148;0.0;166.6;230.21;0.0
1149;0.0;166.6;230.21;0.0
1150;0.0;166.6;230.21;0.0
1151;0.0;166.6;230.21;0.0
1152;0.0;166.6;230.21;0.0
1153;0.0;166.6;230.21;0.0
1154;0.0;166.6;230.21;0.0
1155;0.0;166.6;230.21;0.0
1156;0.0;166.6;230.21;0.0
1157;0.0;166.6;226.88;0.0
1158;0.0;164.56;227.95;0.0
1159;0.0;155.3;232.82;0.0
1160;0.0;160.77;232.82;0.0
1161;0.0;174.33;240.05;0.0
1162;0.0;187.38;241.1;0.0
1163;0.0;178.49;241.1;0.0
1164;0.0;174.33;240.05;0.0
1165;0.0;183.28;241.1;0.0
1166;0.0;189.43;241.1;0.0
1167;0.0;174.33;230.72;0.0
1168;0.0;166.6;226.88;0.0
1169;0.0;166.6;226.88;0.0
1170;0.0;166.6;226.88;0.0
1171;0.0;174.33;226.15;0.0
1172;0.0;174.33;226.15;0.0
1173;0.0;174.33;226.15;0.0
1174;0.0;174.33;226.15;0.0
1175;0.0;174.33;226.15;0.0
1176;0.0;166.6;230.21;0.0
1177;0.0;166.6;230.21;0.0
1178;0.0;161.64;232.82;0.0
1179;0.0;161.64;232.82;0.0
1180;0.0;161.64;232.82;0.0
1181;0.0;155.3;232.82;0.0
1182;0.0;155.3;232.82;0.0
1183;0.0;174.33;233.59;0.0
1184;69.77;174.33;241.1;69.77
1185;278.89;174.33;241.1;278.89
1186;369.78;174.33;241.1;369.78
1187;382.09;174.33;241.1;382.09
1188;178.84;288.74;241.1;178.84
1189;0.0;302.87;241.1;0.0
1190;0.0;195.58;241.1;0.0
1191;0.0;174.33;232.87;0.0
1192;0.0;166.6;226.88;0.0
1193;0.0;166.6;226.88;0.0
1194;0.0;166.6;226.88;0.0
1195;0.0;166.6;230.21;0.0
1196;0.0;166.6;230.21;0.0
1197;0.0;166.6;230.21;0.0
1198;0.0;166.6;230.21;0.0
1199;0.0;166.6;230.21;0.0
1200;0.0;166.6;230.21;0.0
1201;0.0;166.6;230.21;0.0
1202;0.0;166.6;230.21;0.0
1203;0.0;166.6;230.21;0.0
1204;0.0;166.6;230.21;0.0
1205;0.0;155.3;232.82;0.0
1206;0.0;158.27;231.26;0.0
1207;0.0;174.33;230.36;0.0
1208;0.0;174.33;236.46;0.0
1209;0.0;174.33;240.41;0.0
1210;0.0;188.74;241.1;0.0
1211;0.0;190.79;241.1;0.0
1212;0.0;181.91;241.1;0.0
1213;0.0;174.33;234.67;0.0
1214;0.0;174.33;228.56;0.0
1215;0.0;168.65;226.88;0.0
1216;0.0;166.6;226.88;0.0
1217;0.0;166.6;226.88;0.0
1218;0.0;166.6;226.88;0.0
1219;0.0;166.6;230.21;0.0
1220;0.0;166.6;230.21;0.0
1221;0.0;166.6;230.21;0.0
1222;0.0;166.6;230.21;0.0
1223;0.0;166.6;230.21;0.0
1224;0.0;166.6;230.21;0.0
1225;0.0;161.64;232.82;0.0
1226;0.0;166.6;230.21;0.0
1227;0.0;166.6;230.21;0.0
1228;0.0;161.64;232.82;0.0
1229;0.0;155.3;232.82;0.0
1230;0.0;155.3;232.82;0.0
1231;0.0;161.45;232.82;0.0
1232;0.0;174.33;236.1;0.0
1233;19.2;174.33;241.1;19.2
1234;53.45;174.93;241.1;53.45
1235;0.0;239.32;241.1;0.0
1236;0.0;216.76;241.1;0.0
1237;0.0;199.0;241.1;0.0
1238;0.0;174.33;239.69;0.0
1239;0.0;174.33;227.49;0.0
1240;0.0;166.6;226.88;0.0
1241;0.0;166.6;226.88;0.0
1242;0.0;166.6;226.88;0.0
1243;0.0;166.6;230.21;0.0
1244;0.0;166.6;230.21;0.0
1245;0.0;166.6;230.21;0.0
1246;0.0;166.6;230.21;0.0
1247;0.0;166.6;230.21;0.0
1248;0.0;166.6;230.21;0.0
1249;0.0;166.6;230.21;0.0
1250;0.0;166.6;230.21;0.0
1251;0.0;166.6;230.21;0.0
1252;0.0;161.64;232.82;0.0
1253;0.0;164.77;227.84;0.0
1254;0.0;156.67;232.82;0.0
