;pv;grid;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1758;2.49;14.11;-15.03;0.0;-1.56;1.28;-0.0
1759;12.26;14.11;-23.88;0.0;-2.48;-3.85;-0.0
1760;39.17;-0.0;-24.2;-12.45;-2.52;-4.04;-0.0
1761;47.6;-0.0;-24.2;-20.88;-2.52;-4.04;-0.0
1762;41.85;-0.0;-24.2;-15.13;-2.52;-4.04;-0.0
1763;31.41;-0.0;-24.2;-4.69;-2.52;-4.04;-0.0
1764;27.1;-0.0;-24.2;-0.38;-2.52;-4.04;-0.0
1765;23.46;-0.0;-24.2;3.26;-2.52;-4.04;-0.0
1766;20.49;6.22;-24.2;0.0;-2.52;-4.04;-0.0
1767;15.8;10.92;-24.2;0.0;-2.52;-4.04;-0.0
1768;6.03;14.11;-18.24;0.0;-1.9;-0.58;-0.0
1769;-0.0;14.11;-17.24;4.93;-1.79;0.0;-0.0
1770;-0.0;-0.0;-16.44;18.15;-1.71;0.46;-0.0
1771;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1772;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1773;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1774;-0.0;6.27;-5.68;0.0;-0.59;3.37;-0.0
1775;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1776;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1777;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1778;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1779;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1780;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1781;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1782;2.49;-0.0;-5.38;3.45;-0.56;6.88;-0.0
1783;9.77;-0.0;-8.85;0.0;-0.92;4.87;-0.0
1784;16.76;9.96;-24.2;0.0;-2.52;-4.04;-0.0
1785;24.71;2.01;-24.2;0.0;-2.52;-4.04;-0.0
1786;29.98;-0.0;-24.2;-3.26;-2.52;-4.04;-0.0
1787;35.24;-0.0;-24.2;-8.52;-2.52;-4.04;-0.0
1788;30.26;-0.0;-24.2;-3.54;-2.52;-4.04;-0.0
1789;22.89;3.83;-24.2;0.0;-2.52;-4.04;-0.0
1790;16.66;-0.0;-15.09;0.0;-1.57;1.24;-0.0
1791;10.44;-0.0;-9.46;0.0;-0.98;4.51;-0.0
1792;3.93;14.11;-16.33;0.0;-1.7;0.52;-0.0
1793;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1794;-0.0;5.94;-5.38;0.0;-0.56;6.88;-0.0
1795;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1796;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1797;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1798;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1799;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1800;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1801;-0.0;2.49;-5.38;3.45;-0.56;3.55;-0.0
1802;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
1803;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1804;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1805;0.1;5.84;-5.38;0.0;-0.56;6.88;-0.0
1806;10.63;8.4;-17.24;0.0;-1.79;0.0;-0.0
1807;26.05;-0.0;-23.6;0.0;-2.45;-3.69;-0.0
1808;36.01;-0.0;-24.2;-9.29;-2.52;-4.04;-0.0
1809;41.28;-0.0;-24.2;-14.56;-2.52;-4.04;-0.0
1810;45.01;-0.0;-24.2;-18.29;-2.52;-4.04;-0.0
1811;44.25;-0.0;-24.2;-17.53;-2.52;-4.04;-0.0
1812;32.27;-0.0;-24.2;-5.55;-2.52;-4.04;-0.0
1813;18.39;-0.0;-24.2;8.33;-2.52;-4.04;-0.0
1814;9.48;14.11;-24.2;3.13;-2.52;-4.04;-0.0
1815;3.93;-0.0;-17.24;15.11;-1.79;0.0;-0.0
1816;0.77;14.11;-13.47;0.0;-1.4;2.19;-0.0
1817;-0.0;14.11;-17.24;4.93;-1.79;0.0;-0.0
1818;-0.0;14.11;-15.07;2.53;-1.57;1.26;-0.0
1819;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1820;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1821;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1822;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1823;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1824;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1825;-0.0;12.69;-11.49;0.0;-1.2;0.0;-0.0
1826;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1827;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1828;-0.0;4.62;-5.38;1.32;-0.56;3.55;-0.0
1829;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1830;5.75;-0.0;-5.38;0.19;-0.56;6.88;-0.0
1831;17.14;9.58;-24.2;0.0;-2.52;-4.04;-0.0
1832;26.34;-0.0;-23.86;0.0;-2.48;-3.84;-0.0
1833;34.86;-0.0;-24.2;-8.14;-2.52;-4.04;-0.0
1834;49.13;-0.0;-24.2;-22.41;-2.52;-4.04;-0.0
1835;52.29;-0.0;-24.2;-25.57;-2.52;-4.04;-8.24
1836;52.29;-0.0;-24.2;-25.57;-2.52;-4.04;-6.61
1837;45.78;-0.0;-24.2;-19.06;-2.52;-4.04;-0.0
1838;27.39;-0.0;-24.2;-0.67;-2.52;-4.04;-0.0
1839;11.59;14.11;-24.2;1.02;-2.52;-4.04;-0.0
