snapshot;pv;grid;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
54;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
55;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
56;1.72;14.11;0.0;1.68;14.34;8.32;-8.32;-8.32;1.49;0.0;10.0
57;5.27;14.11;0.0;-0.18;17.55;10.18;-10.18;-10.18;1.82;0.0;10.0
58;8.14;14.11;0.0;-1.69;20.15;11.69;-11.69;-11.69;2.1;0.0;10.0
59;13.12;14.11;-0.51;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
60;14.08;14.11;-1.47;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
61;7.28;14.11;0.0;-1.24;19.37;11.24;-11.24;-11.24;2.01;0.0;10.0
62;2.59;14.11;0.0;1.23;15.12;8.77;-8.77;-8.77;1.57;0.0;10.0
63;-0.0;14.11;1.97;1.55;14.56;8.45;-8.45;-8.45;1.51;0.0;10.0
64;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
65;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
66;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
67;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
68;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
69;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
70;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
71;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
72;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
73;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
74;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
75;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
76;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
77;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
78;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
79;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
80;0.1;14.11;0.0;2.54;12.86;7.46;-7.46;-7.46;1.34;0.0;10.0
81;0.57;14.11;0.0;2.29;13.3;7.71;-7.71;-7.71;1.38;0.0;10.0
82;2.68;14.11;0.0;1.18;15.21;8.82;-8.82;-8.82;1.58;0.0;10.0
83;3.73;14.11;0.0;0.63;16.16;9.37;-9.37;-9.37;1.68;0.0;10.0
84;1.34;14.11;0.0;1.88;13.99;8.12;-8.12;-8.12;1.45;0.0;10.0
85;0.48;14.11;0.0;2.34;13.21;7.66;-7.66;-7.66;1.37;0.0;10.0
86;0.1;14.11;0.0;2.54;12.86;7.46;-7.46;-7.46;1.34;0.0;10.0
87;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
88;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
89;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
90;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
91;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
92;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
93;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
94;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
95;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
96;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
97;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
98;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
99;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
100;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
101;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
102;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
103;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
104;2.01;14.11;0.0;1.53;14.6;8.47;-8.47;-8.47;1.52;0.0;10.0
105;9.39;14.11;0.0;-2.34;21.28;12.34;-12.34;-12.34;2.21;0.0;10.0
106;19.63;14.11;-7.02;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
107;34.19;14.11;-21.58;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
108;30.84;14.11;-18.22;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
109;21.93;14.11;-9.32;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
110;7.18;14.11;5.43;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
111;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
112;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
113;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
114;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
115;-0.0;14.11;0.26;-0.88;13.01;7.55;-7.55;-7.55;1.35;0.0;6.67
116;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
117;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
118;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
119;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
120;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
121;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
122;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
123;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
124;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
125;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
126;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
127;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
128;0.86;14.11;0.0;2.14;13.56;7.86;-7.86;-7.86;1.41;0.0;10.0
129;1.92;14.11;0.0;1.58;14.51;8.42;-8.42;-8.42;1.51;0.0;10.0
130;2.11;14.11;0.0;1.48;14.69;8.52;-8.52;-8.52;1.53;0.0;10.0
131;5.65;14.11;0.0;-0.38;17.9;10.38;-10.38;-10.38;1.86;0.0;10.0
132;13.6;14.11;-0.99;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
133;10.82;14.11;0.99;-3.62;23.47;13.61;-13.61;-13.61;2.44;0.0;10.0
134;3.06;14.11;0.0;0.98;15.55;9.02;-9.02;-9.02;1.62;0.0;10.0
135;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
136;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
137;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
138;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
139;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
140;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
141;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
142;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
143;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
144;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
145;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
146;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
147;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
148;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
149;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
150;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
