snapshot;pv;grid;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
2128;6.51;14.11;6.1;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2129;0.48;-0.0;25.57;-3.69;23.6;13.69;-13.69;-13.69;2.45;0.0;10.0
2130;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2131;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2132;-0.0;-0.0;22.88;-5.35;20.72;12.02;-12.02;-12.02;2.15;0.0;6.67
2133;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2134;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2135;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2136;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2137;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2138;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2139;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2140;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2141;0.38;5.55;0.0;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2142;1.53;-0.0;4.41;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2143;3.54;14.11;0.0;0.73;15.99;9.27;-9.27;-9.27;1.66;0.0;10.0
2144;6.32;14.11;0.0;-0.73;18.5;10.73;-10.73;-10.73;1.92;0.0;10.0
2145;10.25;14.11;0.0;-2.8;22.06;12.79;-12.79;-12.79;2.29;0.0;10.0
2146;22.6;4.12;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2147;22.31;4.41;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2148;9.1;-0.0;0.0;5.22;8.24;4.78;-4.78;-4.78;0.86;0.0;10.0
2149;9.19;14.11;0.0;-2.24;21.11;12.24;-12.24;-12.24;2.19;0.0;10.0
2150;7.28;14.11;0.0;-1.24;19.37;11.24;-11.24;-11.24;2.01;0.0;10.0
2151;4.21;14.11;0.0;0.37;16.59;9.62;-9.62;-9.62;1.73;0.0;10.0
2152;1.34;4.6;0.0;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2153;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
2154;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
2155;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2156;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2157;-0.0;8.83;0.0;2.03;8.0;4.64;-4.64;-4.64;0.83;0.0;6.67
2158;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2159;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2160;-0.0;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
2161;-0.0;5.94;0.0;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2162;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2163;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2164;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2165;0.29;14.11;0.0;2.44;13.04;7.56;-7.56;-7.56;1.36;0.0;10.0
2166;2.97;14.11;0.0;1.03;15.47;8.97;-8.97;-8.97;1.61;0.0;10.0
2167;7.57;14.11;0.0;-1.39;19.63;11.39;-11.39;-11.39;2.04;0.0;10.0
2168;12.64;14.08;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2169;15.04;11.68;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2170;17.14;-0.0;0.0;0.99;15.53;9.01;-9.01;-9.01;1.61;0.0;10.0
2171;18.29;8.43;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2172;13.12;13.6;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2173;11.88;14.11;0.0;-3.65;23.53;13.65;-13.65;-13.65;2.45;0.0;10.0
2174;8.71;14.11;0.0;-1.99;20.67;11.99;-11.99;-11.99;2.15;0.0;10.0
2175;4.79;14.11;0.0;0.07;17.12;9.93;-9.93;-9.93;1.78;0.0;10.0
2176;1.63;14.11;0.0;1.73;14.25;8.27;-8.27;-8.27;1.48;0.0;10.0
2177;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
2178;-0.0;5.94;0.0;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2179;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2180;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2181;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2182;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2183;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2184;-0.0;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
2185;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2186;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2187;-0.0;10.87;0.0;0.96;9.85;5.71;-5.71;-5.71;1.02;0.0;6.67
2188;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2189;2.49;14.11;0.0;1.28;15.03;8.72;-8.72;-8.72;1.56;0.0;10.0
2190;20.11;-0.0;0.0;-0.57;18.22;10.57;-10.57;-10.57;1.89;0.0;10.0
2191;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2192;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2193;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2194;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2195;41.76;-0.0;-15.04;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2196;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2197;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2198;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2199;37.25;-0.0;-10.53;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2200;16.38;-0.0;10.34;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2201;1.05;-0.0;17.98;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2202;-0.0;-0.0;14.58;2.34;13.21;7.66;-7.66;-7.66;1.37;0.0;10.0
2203;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2204;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2205;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2206;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2207;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2208;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2209;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2210;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2211;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2212;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2213;2.68;10.35;0.0;3.15;11.81;6.85;-6.85;-6.85;1.23;0.0;10.0
2214;22.51;-0.0;0.0;-1.82;20.39;11.82;-11.82;-11.82;2.12;0.0;10.0
2215;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2216;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2217;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2218;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2219;40.89;-0.0;-14.17;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2220;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2221;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2222;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2223;38.12;-0.0;-11.4;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2224;16.66;-0.0;2.37;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2225;1.15;-0.0;17.88;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2226;-0.0;-0.0;25.0;-3.14;22.65;13.14;-13.14;-13.14;2.36;0.0;10.0
2227;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2228;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2229;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2230;-0.0;0.05;5.88;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2231;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2232;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2233;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2234;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2235;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2236;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2237;2.3;-0.0;3.64;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2238;12.83;-0.0;0.0;3.26;11.62;6.74;-6.74;-6.74;1.21;0.0;10.0
2239;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2240;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2241;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2242;44.63;-0.0;-17.91;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2243;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2244;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2245;49.32;-0.0;-22.6;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2246;37.35;-0.0;-10.63;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2247;20.97;-0.0;5.75;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2248;8.14;-0.0;18.58;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2249;0.86;-0.0;25.57;-3.89;23.94;13.89;-13.89;-13.89;2.49;0.0;10.0
2250;-0.0;-0.0;8.24;5.67;7.46;4.33;-4.33;-4.33;0.78;0.0;10.0
2251;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2252;-0.0;13.06;0.0;-0.2;11.83;6.86;-6.86;-6.86;1.23;0.0;6.67
2253;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2254;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2255;-0.0;5.94;0.0;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2256;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2257;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2258;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2259;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2260;-0.0;5.94;0.0;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2261;3.35;-0.0;2.59;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2262;22.31;-0.0;0.0;-1.72;20.21;11.72;-11.72;-11.72;2.1;0.0;10.0
2263;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2264;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2265;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2266;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2267;41.47;-0.0;-14.75;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2268;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2269;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2270;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2271;37.54;-0.0;-10.82;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2272;16.57;-0.0;10.15;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2273;1.34;-0.0;17.69;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2274;-0.0;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2275;-0.0;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
2276;-0.0;-0.0;10.64;1.08;9.63;5.59;-5.59;-5.59;1.0;0.0;6.67
2277;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2278;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2279;-0.0;10.5;0.0;1.15;9.51;5.52;-5.52;-5.52;0.99;0.0;6.67
2280;-0.0;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
2281;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2282;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2283;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2284;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2285;3.54;-0.0;2.39;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2286;21.93;-0.0;0.0;-1.52;19.87;11.52;-11.52;-11.52;2.07;0.0;10.0
2287;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2288;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2289;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2290;33.42;-0.0;-6.7;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2291;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2292;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2293;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2294;45.59;-0.0;-18.87;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2295;26.24;-0.0;0.48;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2296;10.63;14.11;0.0;-3.0;22.41;13.0;-13.0;-13.0;2.33;0.0;10.0
2297;1.24;-0.0;17.79;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2298;-0.0;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2299;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2300;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2301;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2302;-0.0;-0.0;11.54;0.6;10.46;6.06;-6.06;-6.06;1.09;0.0;6.67
2303;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2304;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2305;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2306;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2307;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2308;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2309;3.35;14.11;0.0;0.83;15.81;9.17;-9.17;-9.17;1.64;0.0;10.0
2310;18.77;-0.0;0.0;0.14;17.0;9.86;-9.86;-9.86;1.77;0.0;10.0
2311;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2312;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2313;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2314;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2315;43.48;-0.0;-16.76;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2316;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2317;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2318;52.19;-0.0;-25.47;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2319;35.63;-0.0;-8.91;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2320;16.47;10.25;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2321;1.82;-0.0;24.9;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2322;-0.0;-0.0;25.57;-3.43;23.16;13.43;-13.43;-13.43;2.41;0.0;10.0
2323;-0.0;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
2324;-0.0;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
2325;-0.0;-0.0;9.43;1.71;8.55;4.96;-4.96;-4.96;0.89;0.0;6.67
2326;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2327;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2328;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2329;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2330;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2331;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2332;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2333;2.01;14.11;0.0;1.53;14.6;8.47;-8.47;-8.47;1.52;0.0;10.0
2334;8.24;-0.0;0.0;5.67;7.46;4.33;-4.33;-4.33;0.78;0.0;10.0
2335;13.22;-0.0;0.0;3.06;11.97;6.94;-6.94;-6.94;1.24;0.0;10.0
2336;16.95;-0.0;0.0;1.09;15.35;8.91;-8.91;-8.91;1.6;0.0;10.0
2337;20.3;-0.0;0.0;-0.67;18.39;10.67;-10.67;-10.67;1.91;0.0;10.0
2338;19.73;6.99;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2339;18.2;-0.0;0.0;0.44;16.48;9.56;-9.56;-9.56;1.71;0.0;10.0
2340;15.99;10.73;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2341;15.51;11.2;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2342;14.75;-0.0;0.0;2.25;13.36;7.75;-7.75;-7.75;1.39;0.0;10.0
2343;10.92;-0.0;0.0;4.26;9.89;5.74;-5.74;-5.74;1.03;0.0;10.0
2344;5.36;0.57;0.0;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2345;0.67;5.27;0.0;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2346;-0.0;-0.0;5.94;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2347;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2348;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2349;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2350;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2351;-0.0;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
2352;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2353;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2354;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2355;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2356;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2357;1.44;14.11;0.0;1.83;14.08;8.17;-8.17;-8.17;1.46;0.0;10.0
2358;7.28;11.75;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2359;21.36;-0.0;0.0;-1.22;19.34;11.22;-11.22;-11.22;2.01;0.0;10.0
2360;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2361;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2362;26.72;-0.0;0.0;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2363;46.45;-0.0;-19.73;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2364;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2365;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2366;51.52;-0.0;-24.8;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2367;33.33;-0.0;-6.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2368;14.17;-0.0;12.55;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2369;2.01;14.11;2.91;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2370;-0.0;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2371;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2372;-0.0;-0.0;18.37;-2.99;16.64;9.65;-9.65;-9.65;1.73;0.0;6.67
2373;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2374;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2375;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2376;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2377;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2378;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2379;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2380;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2381;4.02;-0.0;1.92;6.88;5.38;3.12;-3.12;-3.12;0.56;0.0;10.0
2382;16.18;-0.0;0.0;1.5;14.66;8.5;-8.5;-8.5;1.52;0.0;10.0
2383;31.8;-0.0;-5.08;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2384;44.63;-0.0;-17.91;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2385;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2386;52.29;-0.0;-25.57;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2387;45.11;-0.0;-18.39;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2388;35.43;-0.0;-8.71;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2389;27.77;-0.0;-1.05;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2390;20.88;-0.0;5.84;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2391;14.17;-0.0;12.55;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2392;4.88;14.11;0.04;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2393;0.38;-0.0;18.65;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
2394;-0.0;3.43;23.29;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
2395;-0.0;-0.0;10.12;1.35;9.16;5.31;-5.31;-5.31;0.95;0.0;6.67
2396;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2397;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2398;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
2399;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
2400;-0.0;-0.0;5.94;3.55;5.38;3.12;-3.12;-3.12;0.56;0.0;6.67
